,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 미법원 머스크 임금 패키지 무효화, 테슬라 시간외서 3% 급락  ",뉴스1,박형기 기자,2024. 1. 31. 07:00,sinopark@news1.kr ,http://v.daum.net/v/20240131070048740
1,"  [속보] 구글 작년 4분기 실적 발표…""광고매출 시장 예상치 밑돌아""  ",한국경제,최진석,2024. 1. 31. 06:27,"구글의 모회사 알파벳이 30일(현지시간) 작년 4분기 실적을 발표했다. 광고 매출이 전년 동기 대비 늘었지만, 시장 예상치를 밑돌았다.알파벳은 작년 4분기 655억2000만달러의 광고 매출을 올렸다. 전년 동기(590억4000만달러) 대비 10%가량 늘어난 수치다. 하지만 시장 예상치인 660억6000만달러에는 미치지 못했다. 기업들이 높은 금리로 인해 마케팅 예산에 대한 압박을 받은 것으로 분석된다.알파벳은 미국의 엇갈리는 경제 신호 속에서 페이스북, 인스타그램, 틱톡, 아마존 등과 같은 다른 온라인 플랫폼과 광고 예산을 두고 치열한 경쟁을 벌이고 있다.작년 4분기 전체 매출은 863억1000만달러로 LSEG 예상치인 853억3000만달러를 웃돌았다.이날 알파벳 주가는 전날보다 1.16% 하락한 주당 153.05달러에 마감했다.실리콘밸리=최진석 특파원 iskra@hankyung.com",http://v.daum.net/v/20240131062703121
2,"  [속보]MS 실적 예상 상회, 시간외서 상승반전했으나 소폭 상승에 그쳐  ",뉴스1,박형기 기자,2024. 1. 31. 06:18,sinopark@news1.kr ,http://v.daum.net/v/20240131061855030
3,"  美증시 혼조 마감…다우 +0.35%, S&P500 -0.06%, 나스닥-0.76%  ",SBS Biz,김종윤 기자,2024. 1. 31. 06:18,짧고 유익한 Biz 숏폼 바로가기,http://v.daum.net/v/20240131061804016
4,  [속보] 마이크로소프트 4분기 주당 순이익 2.93달러…'어닝 서프라이즈'  ,한국경제,최진석,2024. 1. 31. 06:18,마이크로소프트(MS)가 30일(현지시간) 작년 4분기 실적을 발표했다. 시장 예상치를 웃도는 어닝 서프라이즈를 기록했다.MS의 작년 4분기 주당 순이익은 2.94달러로 LSEG 예상치인 2.78달러를 웃돌았다. 매출은 620억달러로 LESG의 예상치 611억2000만달러를 넘어섰다. 월가에선 MS가 작년 4분기에 전년 동기 대비 13~16%의 매출 성장률을 달성할 것으로 예상했는데 이보다 좋은 실적을 거뒀다. 실리콘밸리=최진석 특파원 iskra@hankyung.com,http://v.daum.net/v/20240131061801015
5,"  [속보] MS 4분기 매출·주당순이익, 시장 전망치 상회  ",헤럴드경제,입력 2024. 1. 31. 06:13,2024. 1. 31. 06:13,"[헤럴드경제=김영철 기자] MS 4분기 매출·주당순이익, 시장 전망치 상회. yckim6452@heraldcorp.com",http://v.daum.net/v/20240131061323966
6,  [속보] MS 실적 예상 상회에도 시간외서 1% 하락  ,뉴스1,박형기 기자,2024. 1. 31. 06:07,sinopark@news1.kr ,http://v.daum.net/v/20240131060759911
7,"  [속보]뉴욕증시, 혼조 마감…나스닥 0.7% ↓  ",아시아경제,뉴욕=권해영,2024. 1. 31. 06:06,"미국 뉴욕증시의 3대 지수는 29일(현지시간) 혼조세로 마감했다.이날 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장 대비 0.35% 올라 거래를 마쳤다. 대형주 중심의 S&P500지수는 전 거래일 보다 0.06% 하락했고, 기술주 중심의 나스닥 지수는 0.76% 내려 장을 마감했다.뉴욕=권해영 특파원 roguehy@asiae.co.kr",http://v.daum.net/v/20240131060619888
8,  [속보]FOMC 앞두고 랠리 주춤…나스닥 0.76%↓  ,이데일리,김상윤,2024. 1. 31. 06:05," [뉴욕=이데일리 김상윤 특파원] 제롬 파월 연방준비제도(연준) 의장의 연방공개시장위원회(FOMC) 기자회견을 하루 앞두고 뉴욕증시가 혼조세를 보였다. 기술주 위주의 나스닥 지수는 하루 만에 하락세로 돌아섰다. 예상보다 고용시장이 탄탄하고 소비자신뢰지수가 석달 연속 개선됐다는 소식에 조기 금리 인하 기대감이 보다 후퇴한 분위기다. 반면 대형주 벤치마크인 S&P500지수는 0.06% 하락한 4924.97을, 나스닥지수는 0.76% 하락한 1만5509.90에 거래를 마쳤다. 미국 고용시장이 여전히 탄탄하다는 소식이 나오면서 투심이 위축됐다. 미국의 12월 구인건수가 3개월 만에 최고치로 증가한 것으로 나타난 것이다. 미 노동부가 공개한 구인·이직보고서(JOLTS)에 따르면 작년 12월 구인 건수는 903만건으로 전월 대비 10만건 증가했다. 이는 시장 전망치(880만건)를 웃도는 수치다.민간기업 구인건수는 지난해 3월 1200만건을 정점으로 5월(962만건) 6월(917만건) 7월 (892만건) 등으로 감소세를 보이다 8월 이후 두달 연속 900만건 이상을 기록했다. 여름 휴가철을 맞아 서비스 분야 등에서 깜짝 고용이 증가한 셈이다. 그러다 10, 11월 연속 800만건대로 내려오다 다시 900만건을 넘었다.다만 임금상승을 유발하는 자발적 퇴직자수는 줄어들면서 미국인들이 이직에 대해 신중한 모습을 보이고 있는 것으로 나타났다. 자발적 퇴직(quits)은 340만건으로 전월보다 10만건이 줄었다. 약 3년 만에 최저치다. 자발적 퇴직자 비율은 2.2%로 같았다. 퇴직률은 1년 반 전만 해도 3.0%에 달했는데 2% 초반까지 떨어지고 있다. 직장인들이 현재 시장에서 다른 일자리를 찾는 것에 대한 자신감이 떨어졌다는 의미로, 임금 상승 가능성을 낮추고 있다.스튜어트 폴 블룸버그이코노믹스 이코노미스트는 “미국인들이 더 높은 임금으로 새로운 일자리를 찾을 수 있다고 확신하지 못하기 때문에 이직률이 팬데믹 이전 수준보다 낮게 유지되고 있다”면서 “고용시장에서 발생하는 임금 및 인플레이션 압력은 계속 완화될 가능성이 크다”고 평가했다.이런 상황에서 미국 소비자들이 경제와 고용시장에 대해 더 낙관적으로 생각하고 있다는 데이터도 나왔다. 컨퍼런스 보드는 미국의 1월 소비자 신뢰지수가 2021년 12월 이후 최고치인 114.8(1985=100 기준)을 기록했다고 발표했다. 월가 예상치(115.0)와 유사했다. 소비자신뢰지수는 11월(102.0), 12월(108.0) 등 석달연속 상승세를 보이고 있다.LPL 파이낸셜의 최고 글로벌 전략가인 퀸시 크로스비는 “소비자들의 자신감이 다시 인플레를 자극시킬 수 있다는 우려가 커지고 있다”며 “다만 소비자신뢰가 개선되고 있는 점은 미 경제가 연착륙하는 데 핵심이다”고 평가했다.이날 뜨거운 경제지표가 발표되면서 시장에서 바라보는 3월 금리인하 가능성은 더욱 낮아졌다. 시카고상품거래소(CME) 페드워치에 따르면 연방기금(FF) 금리 선물 시장에서 마감 시점 연준이 오는 3월에 금리를 인하할 가능성은 41.7%를 나타내고 있다.개별주에서는 제너럴모터스(GM)은 예상보다 양호한 실적을 발표한 이후 7.81% 급등했다. 가전제품 제조업체인 월풀은 예상보다 부진한 연간 전망을 내놓으면서 6% 했다. 지난해 실망스러운 실적을 발표한 미국 물류업체 UPS는 8.2% 급락했다.투자자들은 장마감 이후 발표될 마이크로소프트와 구글의 실적 보고서를 주시하고 있다. 두 기업이 실망스러운 실적을 발표할 경우 최근 기술주가 끌었던 증시 랠리를 흔들릴 수 있다.김상윤 (yoon@edaily.co.kr) ",http://v.daum.net/v/20240131060559879
9,"  [속보] 알파벳 실적 예상 미달, 시간외서 5% 급락  ",뉴스1,박형기 기자,2024. 1. 31. 06:05,sinopark@news1.kr ,http://v.daum.net/v/20240131060521870
