,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 이재명 ""의사는 파업을, 정부는 진압쇼를 중단해야""  ",전주MBC,이정용,2024. 2. 25. 10:26,Nan,http://v.daum.net/v/20240225102648923
1,"  [속보] 이재명 ""정부, 일부러 2000명 증원?… 정치쇼라면 최악""  ",대전일보,최고나 기자,2024. 2. 25. 10:08,"이재명 더불어민주당 대표가 ""의사는 파업을, 정부는 진압쇼를 중단하라""고 촉구했다.이 대표는 25일 자신의 페이스북에 ""말로 해도 될 일에 주먹 쓰지 맙시다""라는 제목의 글을 올리며 이 같이 밝혔다.그는 ""파업 그 이상을 해도 의대 정원 확대는 피할 수 없고, 의사 파업은 국민의 관점에서 용인하기 어렵다""며 ""의사들은 파업을 중단하고 의료현장에 복귀해야 한다""며 말문을 열었다.이어 ""의료 현장에서 현실적으로 수용 가능한 적정 증원 규모는 4-500명 수준이라고 한다""며 ""코로나 사태가 없었다면 문재인 정부 당시 이미 공공, 필수, 지역 의료 중심으로 4-500명 규모 증원이 이뤄졌을 것""이라고 내다봤다.계속해서 ""민주당이 타진해 본 결과, 충분한 소통과 조정이 이뤄진다면 의료계도 이 정도 증원은 수용할 것""이라면서 ""파업과 진압이라는 사회적 혼란 없이 얼마든지 대화로 해결이 가능하다""고 주장했다.이 대표는 ""정부가 일부러 2000명 증원을 들이밀며 파업 등 과격반응을 유도한 후, 이를 진압하며 애초 목표인 500명 전후로 타협하는 정치쇼로 총선지지율을 끌어올리려 한다는 시중의 의혹이 사실이 아니길 바란다""며 ""의혹이 사실이라면, 의료계와 국민의 피해를 담보로 정치적 이익을 챙기는, 양평고속도로나 채상병 사건을 능가하는 최악의 국정농단 사례가 될 것""이라고 했다.끝으로 그는 ""말로 해결될 일에 주먹을 쓸 필요는 없고, 그래서도 안 된다""면서 ""파업이나 강경 진압 없이 대화로도 얼마든지 해결할 수 있다. 대화든 파업과 강경 진압이든 어느 경로를 거쳐도 결과는 같을 것""이라고 덧붙였다.",http://v.daum.net/v/20240225100826622
2,"  트럼프, 헤일리 고향 사우스캐롤라이나 경선도 압승  ",국민일보,이정헌,2024. 2. 25. 09:56,"도널드 트럼프 전 대통령이 미국 공화당 대선후보 선출을 위한 사우스캐롤라이나 경선에서 니키 헤일리 전 유엔 주재 미국대사를 누르고 압승했다.24일(현지시간) CNN, AP통신 등에 따르면 트럼프 전 대통령은 이날 공화당의 사우스캐롤라이나 프라이머리(예비선거)에서 헤일리 전 대사를 크게 제치고 1위를 차지했다. CNN은 개표 10분 만에 트럼프 전 대통령의 승리라고 속보로 전했다.트럼프 전 대통령은 승리 연설에서 “예상보다 훨씬 더 큰 승리이다. 공화당이 지금처럼 단합된 모습을 본 적이 없다”고 자축했다. 트럼프 전 대통령은 지난달 아이오와 코커스(당원대회)를 시작으로 뉴햄프셔, 네바다, 버진아일랜드에 이어 이번 사우스캐롤라이나까지 모든 주별 경선에서 승리했다.이로써 오는 11월 미국 대선에선 민주당 대선 후보인 조 바이든 미국 대통령과 공화당 대선 유력주자 트럼프 전 대통령의 리턴 매치가 유력해졌다.헤일리 전 대사는 자신의 고향이자 주지사를 지낸 사우스캐롤라이나에서도 패배하면서 경선 사퇴 압박을 받을 것으로 보인다. 그는 미국 전역 15개 주에서 동시에 경선이 치러지는 3월 5일, 이른바 ‘슈퍼 화요일’까지 중도 포기는 없다는 의지를 내비친 바 있다.이정헌 기자 hlee@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지",http://v.daum.net/v/20240225095612379
3,"  [속보] CNN ""트럼프, 공화당 사우스캐롤라이나 대선 경선도 승리""  ",MBN,입력 2024. 2. 25. 09:46,2024. 2. 25. 09:46,"CNN ""트럼프, 공화당 사우스캐롤라이나 대선 경선도 승리""< Copyright ⓒ MBN(www.mbn.co.kr)무단전재 및 재배포 금지 >",http://v.daum.net/v/20240225094615248
4,"  [속보] 헤일리 고향서 트럼프 승리, 5연승…압도적 대세론 확인  ",디지털타임스,김광태,2024. 2. 25. 09:45,"도널드 트럼프 전 미국 대통령이 24일(현지시간) 경쟁자인 니키 헤일리 전 유엔 대사의 고향인 사우스캐롤라이나 공화당 경선에서도 승리했다고 CNN이 보도했다. CNN은 이날 사우스캐롤라이나주에서 공화당 프라이머리 투표가 종료된 오후 7시 출구 조사 결과 등을 바탕으로 트럼프 전 대통령의 승리를 예측했다.이에 따라 트럼프 전 대통령은 1월 아이오와와 뉴햄프셔, 이달 네바다와 버진아일랜드에 이어 사우스캐롤라이나까지 진행된 모든 경선에서 승리하며 5연승 가도를 달렸다. 사우스캐롤라이나주는 헤일리 전 대사의 고향으로, 이곳에서 하원의원과 주지사를 지냈다는 점에서 트럼프 전 대통령의 승리는 큰 의미를 갖는다. 또 트럼프 전 대통령은 지난 10일 유세에서 '국내총생산(GDP) 2% 규모의 방위비 지출' 공약을 지키지 않는 나토(북대서양조약기구·NATO) 회원국에 대해서는 러시아에 '하고 싶은 대로 하라'고 할 것이라는 발언으로 물의를 빚었지만 예상대로 승리를 거둠으로써 압도적인 대세론을 확인했다. 반면 헤일리 전 대사는 '정치적 텃밭'인 사우스캐롤라이나에서도 패배를 당하면서 트럼프 전 대통령 지지자를 포함한 당내부로부터 사퇴 압박에 직면할 것으로 예상된다.헤일리 전 대사는 현재까지는 내달 5일 15개주와 미국령 사모아에서 경선이 치러지는 '슈퍼 화요일'까지 경선에 참여하겠다는 의지를 굽히지 않고 있으나 이날 사우스캐롤라이나 선거 결과가 향후 거취에 큰 영향을 미칠 것으로 예상된다. 공화당은 이후 3월 12일 조지아·하와이·미시시피·워싱턴 4개주, 3월 19일 애리조나·플로리다·일리노이·캔자스·오하이오 5개주, 3월 23일 루이지애나까지 경선을 치르면 대의원수 기준으로 약 70%를 마치게 된다.트럼프 전 대통령은 내달 5일 슈퍼화요일까지 공화당 대통령 후보직을 확보함으로써 바이든 대통령과의 본선 대결에 집중한다는 전략을 내세우고 있다. 김광태기자 ktkim@dt.co.kr",http://v.daum.net/v/20240225094510232
5,"  [속보] “트럼프, 공화당 사우스캐롤라이나 대선 경선도 승리”  ",문화일보,곽선미 기자,2024. 2. 25. 09:42,"도널드 트럼프 전 미국 대통령이 24일(현지 시간) 경쟁자인 니키 헤일리 전 유엔 대사 고향인 사우스캐롤라이나의 공화당 경선에서도 승리했다고 CNN이 보도했다. CNN은 이날 사우스캐롤라이나주에서 공화당 프라이머리 투표가 종료된 오후 7시 출구 조사 결과 등을 바탕으로 트럼프 전 대통령의 승리를 예측했다.이에 따라 트럼프 전 대통령은 1월 아이오와와 뉴햄프셔, 이달 네바다와 버진아일랜드에 이어 사우스캐롤라이나까지 진행된 모든 경선에서 승리하며 5연승 가도를 달렸다. 곽선미 기자",http://v.daum.net/v/20240225094207154
6,"  [속보] CNN “트럼프, 사우스캐롤라이나 대선 경선도 승리…5연승 가도”  ",강원도민일보,김동화,2024. 2. 25. 09:38,Nan,http://v.daum.net/v/20240225093839086
7,"  [속보] ""트럼프, 5연승…사우스캐롤라이나도 승리"" CNN 출구조사  ",헤럴드경제,입력 2024. 2. 25. 09:38,2024. 2. 25. 09:38,"[헤럴드경제=김성훈 기자] CNN은 도널드 트럼프 전 미국 대통령이 24일(현지시간) 사우스캐롤라이나의 공화당 경선에서도 승리했다고 보도했다.사우스캐롤라이나는 경쟁자인 니키 헤일리 전 유엔 대사의 고향이다.CNN은 이날 사우스캐롤라이나주에서 공화당 프라이머리 투표가 종료된 오후 7시 출구 조사 결과 등을 바탕으로 트럼프 전 대통령의 승리를 예측했다.이에 따라 트럼프 전 대통령은 1월 아이오와와 뉴햄프셔, 이달 네바다와 버진아일랜드에 이어 사우스캐롤라이나까지 진행된 모든 경선에서 승리하며 5연승 가도를 달렸다. 사실상 공화당 대선 후보 자격을 확보했다는 평가가 나온다.paq@heraldcorp.com",http://v.daum.net/v/20240225093819082
8,"  트럼프, ‘승부처’ 사우스캐롤라이나서 개표 10분만에 승리확정  ",매일경제,강계만 특파원(kkm@mk.co.kr),2024. 2. 25. 09:33,이날 공화당의 사우스캐롤라이나 프라이머리(예비선거)에서 개표율 26% 기준 트럼프 전 대통령은 58.1%를 득표해 1위를 차지했다. 헤일리 전 대사는 41.3%를 얻었다. CNN은 개표 10분 만에 트럼프 전 대통령의 승리라고 속보로 전했다.트럼프 전 대통령은 곧바로 승리연설을 하고 “예상보다 훨씬 더 큰 승리”라며 “공화당이 지금처럼 단합된 모습을 본 적이 없다”고 자축했다.이로써 오는 11월 미국 대선은 민주당 대선후보 조 바이든 미국 대통령과 공화당 대선 유력주자 트럼프 전 대통령의 리턴매치가 확실해졌다.트럼프 전 대통령은 대선 본선에 보다 집중하는 양상이다. 그는 “덜떨어진(crooked)’ 조 바이든에게 ‘너는 해고’라고 통보할 것”이라고 강조했다.정치적 고향인 사우스캐롤라이나에서 ‘배수의 진’을 치고 집중유세했던 헤일리 전 대사는 이날 패배로 사실상 대선 주자로서 기세를 잃었다. 그러나 헤일리 전 대사는 경선을 이어갈 것이라면서 15개주에서 동시에 선거가 치러지는 ‘슈퍼 화요일’(3월5일)까지 중도 포기하지 않겠다고 의지를 다졌다.,http://v.daum.net/v/20240225093300014
9,"  [속보] 트럼프, 사우스캐롤라이나 경선도 승리…5연승  ",서울신문,김유민,2024. 2. 25. 09:29,"도널드 트럼프 전 미국 대통령이 24일(현지시간) 경쟁자인 니키 헤일리 전 유엔 대사 고향인 사우스캐롤라이나의 공화당 경선에서도 승리했다고 CNN이 보도했다.CNN은 이날 사우스캐롤라이나주에서 공화당 프라이머리 투표가 종료된 오후 7시 출구 조사 결과 등을 바탕으로 트럼프 전 대통령의 승리를 예측했다.이에 따라 트럼프 전 대통령은 1월 아이오와와 뉴햄프셔, 이달 네바다와 버진아일랜드에 이어 사우스캐롤라이나까지 진행된 모든 경선에서 승리하며 5연승 가도를 달렸다.김유민 기자",http://v.daum.net/v/20240225092901942
