,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,  배지환-심준석이 마이애미로? 피츠버그 매체 오보 소동  ,MK스포츠,김재호 MK스포츠 기자(greatnemo@maekyung.com),2024. 2. 16. 02:15,"두 명의 한국인 선수가 연관된 초대형 트레이드 소식, 그러나 오보로 밝혀졌다.피츠버그 지역 매체 ‘피츠버그 포스트-가제트’는 현지시간으로 15일 파이어리츠가 마이애미 말린스와 트레이드를 진행한다는 소식을 전했다.제법 규모가 큰 트레이드처럼 보였다. 이 기사에서 피츠버그는 에드워드 카브레라를 얻는 조건으로 배지환과 브랙스턴 애쉬크래프트, 그리고 심준석을 내준다고 나왔다.이 기사의 작성자로 나오는 제이슨 마키 기자는 같은 날 자신의 X(구 트위터)를 통해 “오늘 아침 파이어리츠의 트레이드 기사는 ‘최소한 지금까지는’ 정확하지 않은 기사”라고 전했다.그는 “긴급 속보에 대비해 미리 준비했던 내용이다. 미리 준비해뒀다가 정확한 트레이드 내용을 알게되면 이에 맞게 수정해서 기사를 내보내고 있다. 시스템 결함을 조사중인데 새컨더리 앱에서 문제가 생긴 것으로 보인다. 여러분께 혼란과 거짓 희망을 전해줘서 미안하다”는 글을 남겼다.그가 ‘최소한 지금까지는’이라는 전제 조건을 단 것에서 알 수 있듯, 피츠버그가 선발 보강이 필요하고 선발 영입을 위해 노력하고 있는 것 자체는 거짓이 아니다.앞서 이 매체는 피츠버그가 마이애미 말린스와 선발 영입과 관련해 진지한 트레이드 논의를 하고 있다고 전하며 피츠버그가 선발 카브레라를 얻는 조건으로 리오버 페게로, 닉 곤잘레스, 배지환 등 젊은 내야수 중 한 명을 내주는 트레이드를 예상했었다.카브레라는 마이애미에서 지난 세 시즌 동안 43경기 등판 197 2/3이닝 소화하며 13승 14패 평균자책점 4.01을 기록했다.2023시즌에는 22경기에서 99 2/3이닝 소화하며 데뷔 후 가장 많은 투구를 소화했다.평균자책점 4.24, WHIP 1.445, 9이닝당 1.0피홈런 6.0볼넷 10.7탈삼진 기록했다.[스코츠데일(미국) =김재호 MK스포츠 특파원][ⓒ MK스포츠, 무단전재 및 재배포 금지]",http://v.daum.net/v/20240216021500608
1,  [속보] 제주 침몰 화물선 승선원 11명 전원 구조  ,국민일보,김지훈,2024. 2. 16. 01:40,"제주 서귀포 해상에서 침몰 중인 화물선에 탑승해 있던 승선원 11명이 전원 구조됐다.16일 해경 관계자는 “구조된 선원 11명은 모두 생명에는 이상이 없다”며 “선원들을 경비함정으로 화순항으로 이송해 사고 경위 등을 조사할 예정”이라고 밝혔다.앞서 해경은 전날 오후 9시 55분쯤 제주 서귀포항 남서쪽 61㎞ 해상에 있는 부산 선적 화물선 금양6호로부터 “침수 중이니 구조해달라”는 내용의 구조 신고를 접수했다.긴급 출동한 해경이 11시 52분쯤 현장에 도착했을 당시 사고 선박은 이미 왼쪽으로 25도 이상 기운 채 침몰 중이었다.이 배에는 선장 등 한국인 선원 2명을 비롯해 미얀마 국적 선원 6명과 인도네시아 국적 선원 3명 등 11명이 타고 있었다.당시 사고 해역에는 풍랑주의보가 내려진 상태였다. 해경은 초속 20m에 달하는 강풍과 5m에 달하는 높은 파도로 구조 작업에 어려움을 겪었다.해경은 함미 쪽으로 구조 단정을 댄 뒤 밧줄로 연결해 선원을 구조했다. 오전 1시 30분쯤 전원 구조에 성공했다.이 선박은 철판을 싣고 15일 오전 3시 2분쯤 전남 광양항에서 출발해 중국으로 향하던 배였다. 항해 도중 원인을 알 수 없는 침수가 발생해 사고가 일어난 것으로 파악됐다.이날 사고를 보고받은 윤석열 대통령은 “해군, 어선 등 민관군 협력 체계를 가동하고 해군과 해경은 가용 인력과 장비를 총동원하라”며 “기울어져 가는 배에 있는 사람을 살리는 것을 최우선으로 하라”고 지시했다.김지훈 기자 germany@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지",http://v.daum.net/v/20240216014010495
2,  [속보] 서귀포해상 침몰 화물선 승선원 11명 전원 구조  ,SBS,배성재 기자,2024. 2. 16. 01:39,"(사진=제주해양경찰청 제공 동영상 캡처, 연합뉴스)
           배성재 기자 ship@sbs.co.kr",http://v.daum.net/v/20240216013901490
3,  [속보] 제주 서귀포 해상 침수 화물선 선원 11명 전원 구조  ,뉴시스,오영재 기자,2024. 2. 16. 01:36, [제주=뉴시스] 오영재 기자 = ☞공감언론 뉴시스 oyj4343@newsis.com ,http://v.daum.net/v/20240216013612478
4,"  [속보] 해경 ""서귀포 해상 침수 화물선 승선원 11명 전원 구조""  ",뉴스1,오미란 기자,2024. 2. 16. 01:36,mro1225@news1.kr ,http://v.daum.net/v/20240216013611477
5,  [속보] 제주 해상 침몰 화물선 승선원 11명 전원 구조  ,디지털타임스,김미경,2024. 2. 16. 01:35,[속보] 제주 해상 침몰 화물선 승선원 11명 전원 구조,http://v.daum.net/v/20240216013510475
6,  [속보] 서귀포해상 침몰 화물선 승선원 11명 전원 구조  ,연합뉴스,백나용,2024. 2. 16. 01:31,▶제보는 카톡 okjebo,http://v.daum.net/v/20240216013159467
7,"  [속보] 해경 ""서귀포 침수 화물선 승선원 11명 중 6명 구조""  ",뉴스1,오미란 기자,2024. 2. 16. 01:14,mro1225@news1.kr ,http://v.daum.net/v/20240216011409391
8,"  [속보] 마라도 화물선 침수...윤석열 ""가용자원 총동원 구조""  ",YTN,홍민기,2024. 2. 16. 00:40,"제주 서귀포시 마라도 해상에서 화물선 침수 사고가 발생한 가운데 윤석열 대통령이 ""해군과 어선 등 민관군의 가용자원을 총동원해 생존자 구조에 총력을 다하라""고 밝혔습니다. 윤 대통령은 선원 11명이 탑승한 화물선이 침수하고 있다는 보고를 받은 직후 배에 있는 사람을 살리는 것을 최우선으로 해야 한다며 이같이 밝혔습니다. 이와 관련해 서귀포해양경찰서는 사고 접수 직후 헬기와 경비함정 등을 현장으로 급파했고, 인근 선박에도 구조협조를 요청했다고 밝혔습니다. 사고가 난 선박은 1,959톤급 화물선 금양6호로 어제저녁(15일) 9시 50분쯤 제주 서귀포항 남서쪽 61km 부근을 지나다 침수 사고가 났다며 구조를 요청했습니다. 금양6호에는 한국인 선원 2명과 외국인 선원 9명 등 모두 11명이 승선하고 있습니다. YTN 홍민기 (hongmg1227@ytn.co.kr)※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr[저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]",http://v.daum.net/v/20240216004010254
9,  [속보] 제주 해상서 11명 승선한 화물선 침몰…해경 구조작업 중  ,매일경제,고득관 매경닷컴 기자(kdk@mk.co.kr),2024. 2. 16. 00:39,"16일 서귀포해양경찰서에 따르면 이날 오후 9시 55분께 제주 서귀포항 남서쪽 61㎞ 해상에서 부산 선적 화물선 금양6호(1천959t·승선원 11명)가 침수 중이라며 구조해달라는 신고가 해경에 접수됐다.이 화물선은 철판을 싣고 전남 광양항에서 출항해 중국으로 향하던 중 원인을 알 수 없는 침수 사고가 발생한 것으로 파악됐다.화물선에는 선장 등 한국인 선원 2명과 미얀마 국적 선원 6명, 인도네시아 국적 선원 3명이 탑승하고 있는 것으로 파악됐다.신고를 받고 출동한 5000t급 해경 경비함정이 16일 오후 11시 52분께 현장에 도착해 선원 구조 작업을 벌였다.해경 관계자는 “사고 선박은 왼쪽으로 25도 이상 기울어진 상태로 파악됐으며, 선원을 구조하고 있다”고 말했다.사고 해역에는 바람이 북서풍으로 초속 18∼20ｍ로 강하게 불고 파도가 5ｍ로 높게 일고 있다.",http://v.daum.net/v/20240216003900249
