,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,  [속보] 민주 ‘올드보이’ 박지원·정동영 공천…윤재갑·김성주 낙천  ,매일경제,최기성 매경닷컴 기자(gistar@mk.co.kr),2024. 3. 13. 21:39,Nan,http://v.daum.net/v/20240313213900051
1,"  [속보] 친문 핵심 전해철 낙천, 양문석 경선 승리…박지원·정동영 공천  ",문화일보,조성진 기자,2024. 3. 13. 21:36,"문재인 전 대통령의 최측근인 전해철(사진) 의원이 더불어민주당 경기 안산갑 경선에서 친이재명(친명)계인 양문석 전 방송통신위원회 상임위원에게 패했다. ‘올드보이’ 박지원 전 국가정보원장과 정동영 전 통일부 장관은 본선행 티켓을 따냈다. 민주당 중앙선거관리위원회는 13일 이 같은 내용을 포함한 경선 결과를 발표했다. 전남 해남·완도·진도에서는 박 전 원장이 현역인 윤재갑 의원을 눌렀고, 전북 전주병에서는 정 전 장관이 김성주 의원에게 승리했다.선거구 조정으로 현역 의원들 간 대결이 치러지게 된 서울 노원갑에선 우원식(4선·서울 노원을) 의원이 고용진(재선·서울 노원갑) 의원을 꺾고 본선에 진출했다. 현역 의원 3명이 몰렸던 경기 부천갑에서는 3선 김경협 의원이 떨어지고, 유정주(비례), 서영석(초선·경기 부천정) 의원이 결선에 올랐다.친명계 원외가 도전장 내민 지역에서 현역 의원들의 패배도 이어졌다. 인천 서병에서는 재선 신동근 의원과 허숙정(비례) 의원이 탈락하고, 이재명 대표 수행을 담당했던 모경종 전 당대표실 차장이 승리했다. 경기 부천병은 여성 의원 최초로 국회부의장을 지냈던 4선 김상희 의원이 떨어지고 정진상 전 민주당 당대표 정무조정실장을 변호했던 이건태 당대표 특보가 승리했다. 설훈 의원이 탈당해 현역 공석이 된 경기 부천을은 김용 전 민주연구원 부원장 변호를 맡았던 김기표 변호사가 차지했다.조성진 기자",http://v.daum.net/v/20240313213605029
2,"  [속보]민주, 서울 노원갑 우원식 승리... 경기부천갑 서영석·유정주 결선  ",파이낸셜뉴스,김찬미,2024. 3. 13. 21:29,hippo@fnnews.com 김찬미 기자,http://v.daum.net/v/20240313212910961
3,  [속보] 민주 '올드보이' 박지원·정동영 공천…윤재갑·김성주 낙천  ,SBS,백운 기자,2024. 3. 13. 21:27,"이에 따라 현역 윤재갑, 김성주 의원은 공천에서 탈락했습니다.(사진=연합뉴스)
           백운 기자 cloud@sbs.co.kr",http://v.daum.net/v/20240313212709937
4,  [속보] 민주 ‘올드보이’ 박지원·정동영 공천…‘친문’ 전해철 고배  ,서울신문,최재헌,2024. 3. 13. 21:25,"박지원 전 국가정보원장과 정동영 전 통일부 장관이 더불어민주당 4·10 총선 공천에서 본선행 티켓을 따냈다. 친문(친문재인)계 전해철(3선) 의원은 경기 안산갑 경선에서 고배를 마셨다.민주당 중앙당 선거관리위원회는 13일 오후 여의도 당사에서 9차 경선 11곳, 10차 경선 4곳, 전략선거구 2곳 등 총 17곳에 대한 경선 결과를 발표했다.전남 해남·완도·진도에서 박지원 전 국정원장이 현역 윤재갑 의원을 이겨 5선에 도전하게 됐다. 전북 전주병에서는 정동영 상임고문이 현역 김성주 의원에 이겨 5선에 도전한다. 의원 평가에서 ‘하위 20%’를 받아 20% 감점이 적용된 전해철 의원은 친명계인 양문석 전 고성·통영 지역위원장에 졌다.선거구 조정으로 현역 의원들 간 대결이 치러지게 된 서울 노원갑에선 우원식(4선·서울 노원을) 의원이 고용진(재선·서울 노원갑) 의원을 꺾고 본선에 진출했다. 현역 의원 3명이 몰렸던 경기 부천갑에서는 3선 김경협 의원이 떨어지고 유정주(비례), 서영석(초선·경기 부천정) 의원이 결선에 올랐다.한편, 이재명 대표의 측근으로 분류되는 모경종 전 당대표실 차장과 이건태 당대표 특별보좌역도 인천 서구병과 경기 부천병 경선에서 승리해 공천권을 따냈다.최재헌 기자",http://v.daum.net/v/20240313212503903
5,"  [속보] 민주당, 전해철 경선 탈락…박지원·정동영 통과  ",대전일보,김지선 기자,2024. 3. 13. 21:24,"민주당, 전해철 경선 탈락…박지원·정동영 통과",http://v.daum.net/v/20240313212431898
6,"  [속보]민주, 해남완도진도 박지원·여수을 조계원 승리…영암·무안·신안, 서삼석 vs 김태성 결선 투표  ",헤럴드경제,입력 2024. 3. 13. 21:23,2024. 3. 13. 21:23,"[헤럴드경제(무안)=황성철 기자] 민주당 전남 해남·완도·진도 경선에서 박지원 전 국정원장이 현역 윤재갑 의원을 따돌리고 승리했다.▶여수을 조계원…현역 김회재 고배▶영암·무안·신안, 서삼석 vs 김태성 결선 투표▶나주·화순, 신정훈 vs 손금주 결선 투표hwang@heraldcorp.com",http://v.daum.net/v/20240313212308876
7,  [속보] 전해철 등 비명계 경선 패배...친명 대거 승리  ,경기일보,김영호 기자,2024. 3. 13. 21:22,"   더불어민주당 중앙당선거관리위원회는 13일 경기·인천지역 7곳의 후보자 경선 결과를 발표했다. 안산갑은 강성 친명(친이재명)계 양문석 전 방송통신위원회 상임위원이 친문(친문재인)계 3선 전해철 의원을 꺾고 본선에 진출하게 됐다. 앞서 양 전 위원은 전 의원을 향해 수박이라고 지칭했다가 경고를 받기도 했다. 다만, 평택갑에서는 친문 홍기원 의원이 임승근 전 평택갑 지역위원장에게 승리했다. 부천갑은 서영석 의원과 유정주 의원(비례)이 결선 투표를 진행하기로 했다.  부천을은 김기표 변호사가 서진웅 전 경기도의원에게 이겼다. 부천병은 친명계 이건태 민주당 당대표 특보가 4선 비명계 김상희 의원을 눌렀다. 전략선거구인 인천 남동구을은 이훈기 전 기자가 이병래 전 인천시의원을, 서구병은 이재명 대표(인천 계양을) 측근으로 분류되는 모경종 전 당대표실 차장이 신동근 의원과 허숙정 의원(비례)을 각각 이기고 최종 후보로 선정됐다. 김영호 기자 ho3920@kyeonggi.com ",http://v.daum.net/v/20240313212255873
8,  [속보] '친문' 전해철 낙천…양문석 경선 승리  ,SBS,백운 기자,2024. 3. 13. 21:21,"(사진=연합뉴스)
           백운 기자 cloud@sbs.co.kr",http://v.daum.net/v/20240313212100841
9,  [속보] 비명횡사 얼룩진 수요일 밤…전해철·김상희·신동근 줄줄이 공천 '칼질'(2보)  ,데일리안,정도원,2024. 3. 13. 21:20,"더불어민주당의 '슈퍼 수요일' 경선이 여지 없이 비명(비이재명)계의 '비명횡사'로 얼룩졌다.민주당 중앙당선거관리위원회가 13일 저녁 발표한 경선 결과에 따르면 비명계 4선 중진이자 전 국회부의장인 김상희 의원이 경기 부천병 경선에서 패배해 공천 탈락했다.친문(친문재인)계 핵심이자 문재인 전 대통령의 최측근 '3철' 중 한 명으로 꼽히는 전해철 의원도 경기 안산갑 경선 패배와 공천 탈락을 피해가지 못했다. 또다른 친문계로 꼽히는 신동근 의원도 인천 서병에서 경선 패배, 공천 탈락 당했다.호남에서는 이재명 대표와 인연이 있는 '올드보이(OB)'들이 대거 생환했다. 전북 전주병에서는 정동영 전 의원이 경선에서 승리해 공천을 따냈다. 이 대표는 한때 정동영계로 분류됐다. 이 대표에게 정무적인 자문을 하는 것으로 알려진 박지원 전 국가정보원장도 전남 해남완도진도 경선에서 승리했다.",http://v.daum.net/v/20240313212051837
