,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,  [속보]민주당 경선 제윤경·김현권 전 의원 공천  ,머니투데이,"김성은 기자, 차현아 기자",2024. 2. 21. 22:27,21일 더불어민주당 중앙당선거관리위원회.김성은 기자 gttsw@mt.co.kr 차현아 기자 chacha@mt.co.kr,http://v.daum.net/v/20240221222733561
1,  [속보]민주당 경선 '광주 북구을' 전진숙 공천...현역 이형석 패배  ,머니투데이,"김성은 기자, 차현아 기자",2024. 2. 21. 22:22,21일 더불어민주당 중앙당선거관리위원회.김성은 기자 gttsw@mt.co.kr 차현아 기자 chacha@mt.co.kr,http://v.daum.net/v/20240221222245507
2,  [속보]민주당 경선 '광주 동구남구갑' 정진욱 공천...현역 윤영덕 패배  ,머니투데이,"김성은 기자, 차현아 기자",2024. 2. 21. 22:17,21일 더불어민주당 중앙당선거관리위원회.김성은 기자 gttsw@mt.co.kr 차현아 기자 chacha@mt.co.kr,http://v.daum.net/v/20240221221740443
3,  [속보]민주당 경선 '광주 북구갑' 정준호 공천...현역 조오섭 패배  ,머니투데이,"김성은 기자, 차현아 기자",2024. 2. 21. 22:16,21일 더불어민주당 중앙당선거관리위원회.김성은 기자 gttsw@mt.co.kr 차현아 기자 chacha@mt.co.kr,http://v.daum.net/v/20240221221615424
4,"  [속보]민주 1차 경선, 광주 현역의원 전원 탈락  ",kbc광주방송,신대희,2024. 2. 21. 22:16,"광주 동남갑에서 정진욱 예비후보가 현역 국회의원 윤영덕 의원을 제쳤습니다. 북구갑에서는 정준호 예비후보가 조오섭 현역 의원을 이겼습니다. 북구을에서는 전진숙 예비후보가 이형석 의원을 이기고 민주당 공천을 받게 됐습니다.민주당은 광주·전남 선거구 18곳 중 광주 3곳을 1차 경선 지역으로 발표하고, 권리당원과 일반시민 여론조사를 절반씩 반영한 경선을 했습니다.#더불어민주당 #4·10총선 #현역의원탈락",http://v.daum.net/v/20240221221602421
5,"  [속보] 민주, 경선서 광주 현역 조오섭·이형석·윤영덕 공천 탈락  ",매일경제,조성신 매경닷컴 기자(robgud@mk.co.kr),2024. 2. 21. 22:15,"민주당 중앙당 선거관리위원회는 21일 서울 여의도 당사에서 전국 지역구 21곳에 대한 1차 공천 경선 결과를 발표했다.이날 경선은 국민참여경선 방식으로 지난 19일부터 이날까지 일반시민 50%, 권리당원 50% 비율로 진행됐다.광주 동남갑에서 치러진 경선에선 초선인 윤영덕 의원이 탈락하고 친명(친이재명)계인 정진욱 당 대표 정무특보가 승리했다.광주 북구을에선 이형석 의원이 전진숙 전 청와대 행정관에게 패배했고, 광주 북구갑에선 조오섭 의원이 정준호 변호사에 승리를 내줬다. 3선의 이춘석 전 의원은 전북 익산갑에서 김수흥 의원을 꺾고 4년 만에 다시 국회에 입성할 기회를 얻었다.반면 초선의 정일영(인천 연수을)·장철민(대전 동구)·임오경(경기 광명갑)·김수흥(전북 익산갑)의원, 재선의 김영호(서울 서대문을)·맹성규(인천 남동갑)·조승래(대전 유성갑) 의원은 경선을 무난히 통과했다.이외에 원외 인사들 사이에 치러진 경선에서는 박지현 전 공동비대위원장과 송기호 변호사, 홍성룡 전 서울시의원(서울 송파을), 황기철 전 해군참모총장(경남 창원진해), 제윤경 전 의원(경남 사천·남해·하동) 등이 승리했다.",http://v.daum.net/v/20240221221505412
6,  [속보]민주당 경선 '전북 익산갑' 이춘석 공천...현역 김수흥 패배  ,머니투데이,"김성은 기자, 차현아 기자",2024. 2. 21. 22:14,21일 더불어민주당 중앙당선거관리위원회.김성은 기자 gttsw@mt.co.kr 차현아 기자 chacha@mt.co.kr,http://v.daum.net/v/20240221221442405
7,  [속보]민주당 경선 '제주시 갑' 문대림 공천...현역 송재호 패배  ,머니투데이,"김성은 기자, 차현아 기자",2024. 2. 21. 22:12,21일 더불어민주당 중앙당선거관리위원회.김성은 기자 gttsw@mt.co.kr 차현아 기자 chacha@mt.co.kr,http://v.daum.net/v/20240221221239380
8,"  [속보] 민주, 1차 경선 광주 현역 조오섭·이형석·윤영덕 공천 탈락  ",더팩트,"이철영, 송다영",2024. 2. 21. 22:12,cuba20@tf.co.kr manyzero@tf.co.kr발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write,http://v.daum.net/v/20240221221222371
9,"  [속보] 민주 경기·인천, 정일영·맹성규·임오경·이학영·윤후덕 '현역 전원' 승리  ",경기일보,김영호 기자,2024. 2. 21. 22:11,경기·인천지역 현역 의원인 정일영·맹성규·임오경·이학영·윤후덕이 경선에서 전원 승리했다. 김영호 기자 ho3920@kyeonggi.com ,http://v.daum.net/v/20240221221120327
