,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 민주, 충북 청주흥덕 '친명' 이연희 승리…현역 도종환 탈락  ",뉴스1,문창석 기자,2024. 3. 12. 20:38,themoon@news1.kr ,http://v.daum.net/v/20240312203805138
1,  [속보] 민주당 '비명' 송갑석·'친문' 도종환 경선 탈락  ,중앙일보,한지혜,2024. 3. 12. 20:37,[속보] 민주당 '비명' 송갑석·'친문' 도종환 경선 탈락 한지혜 기자 han.jeehye@joongang.co.kr,http://v.daum.net/v/20240312203702119
2,"  [속보]민주, 호남 김원이 의원 경선 승리…김승남 의원 탈락  ",뉴시스,임종명,2024. 3. 12. 20:36, [서울=뉴시스]  ,http://v.daum.net/v/20240312203637114
3,"  [속보] 민주, '비명' 송갑석·'친문' 도종환 공천 탈락  ",헤럴드경제,입력 2024. 3. 12. 20:36,2024. 3. 12. 20:36,(끝)nature68@heraldcorp.com,http://v.daum.net/v/20240312203631113
4,"  [속보]野김영환, 경기 고양시정 공천…'현역' 이용우 탈락  ",머니투데이,오문영 기자,2024. 3. 12. 20:36,강민정 더불어민주당 중앙당 선거관리위원회 부위원장 12일.오문영 기자 omy0722@mt.co.kr,http://v.daum.net/v/20240312203623110
5,"  [속보]민주, ‘비명’ 송갑석·이용우·도종환 경선 탈락  ",서울경제,전희윤 기자,2024. 3. 12. 20:35,Nan,http://v.daum.net/v/20240312203542085
6,"  [속보] 민주, 광주 서구갑 경선 '친명' 조인철 승리…현역 송갑석 탈락  ",뉴스1,문창석 기자,2024. 3. 12. 20:35,themoon@news1.kr ,http://v.daum.net/v/20240312203541084
7,  [속보]민주 도종환·이용우 의원 경선 탈락  ,뉴시스,임종명,2024. 3. 12. 20:35, [서울=뉴시스]  ,http://v.daum.net/v/20240312203535081
8,  [속보]'하위 10%' 송갑석 탈락…광주 서갑 조인철 본선행  ,머니투데이,오문영 기자,2024. 3. 12. 20:35,강민정 더불어민주당 중앙당 선거관리위원회 부위원장 12일.오문영 기자 omy0722@mt.co.kr,http://v.daum.net/v/20240312203532077
9,  [속보]민주 광주 서구갑 조인철 경선 승리…송갑석 탈락  ,뉴시스,임종명,2024. 3. 12. 20:35, [서울=뉴시스]  ,http://v.daum.net/v/20240312203501059
