,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 엔비디아 시총 2조달러 돌파, 美 나스닥지수 또 사상 최고치  ",헤럴드경제,입력 2024. 3. 2. 06:49,2024. 3. 2. 06:49,"[헤럴드경제=문영규 기자] 미국 엔비디아가 1일(현지시간) 미국 뉴욕 증시에서 사상 처음으로 시가총액 2조달러(약 2660조원)을 돌파했다. 기술주 중심의 나스닥 지수는 이틀 연속 사상 최고치를 기록했고 주요 3대 지수는 모두 상승했다.이날 엔비디아는 전거래일보다 4.00% 급등한 822.79달러를 기록, 사상 최고치를 찍었다.시총도 2조달러를 돌파해 2조570억달러로 집계됐다. 엔비디아가 장중에 시총 2조달러를 돌파한 적은 있지만, 2조달러를 돌파해 마감한 것은 이번이 처음이다.미국 기업 중 시총 2조달러를 돌파한 기업은 마이크로소프트(MS), 애플, 엔비디아뿐이다.엔비디아뿐만 아니라 인공지능(AI) 관련주인 어드밴스드 마이크로 디바이시스(AMD)도 5.25% 급등했다.엔비디아 등 기술주들의 급등으로 나스닥 지수도 전날에 이어 이날도 사상 최고치를 달성했다.나스닥 지수는 전장보다 183.02포인트(1.14%) 오른 1만6274.94에 거래를 마쳤다. 장중·종가를 모두 포함해 사상 최고치다.종가 기준으로는 2021년 11월 19일 이후 2년 3개월 만인 지난달 29일 16,091.92를 하루 만에 넘어섰다. 이전 장중 최고치는 2021년 11월 22일에 기록한 1만6212.23이다.스탠더드앤드푸어스(S&P) 500 지수도 전일 대비 0.80% 상승한 5137.08에 장을 마쳤다. 사상 처음 5100선을 넘어 최고 기록을 경신했다. 종전 최고치는 전날의 5096.27이다.나스닥·S&P500과 함께 3대 주가지수로 꼽히는 다우존스30 산업평균지수도 0.23% 오른 3만9087.38을 기록했다.미 증시는 인플레이션 하락과 미국 경제 회복세에 대한 기대감으로 인해 최근 몇 주간 꾸준히 상승세를 이어가고 있다.ygmoon@heraldcorp.com",http://v.daum.net/v/20240302064952989
1,  [속보]나스닥 사상 최고치 또 경신…엔비디아 4%↑  ,이데일리,김상윤,2024. 3. 2. 06:20,1일(현지시간) 뉴욕증권거래소에서 블루칩을 모아놓은 다우존스 30산업평균지수는 전거래일 대비 0.23% 오른 3만9087.38을 기록했다.대형주 벤치마크인 S&P500지수도 0.80% 오른 5137.08을 기록했다. 기술주 위주의 나스닥지수는 1.14% 상승한 1만6274.94에 거래를 마쳤다. 전날 최고치를 기록한 데 이어 또 다시 신기록을 경신하고 있다. 나스닥 상승을 이끈 것은 엔비디아다. 엔비디아는 이날 4% 상승했다. 메타도 2% 이상 올랐다. 인공지능(AI) 붐에 힘입어 주가가 계속 상승하고 있다.김상윤 (yoon@edaily.co.kr) ,http://v.daum.net/v/20240302062043591
2,"  [속보] 뉴욕 증시, 美 장기금리 하락에 상승 마감…다우 0.23%↑ 나스닥 1.14%↑  ",뉴시스,이재준 기자,2024. 3. 2. 06:09," [서울=뉴시스]이재준 기자 = 미국 뉴욕 증시는 1일(현지시간) 단기이익을 실현하는 매물 선행으로 혼조 개장했다가 장기금리 하락에 대형 기술주를 중심으로 매수세가 유입하면서 상승 마감했다.뉴욕증권거래소(NYSE)에서 다우존스 산업지수는 이날 전일 대비 90.99 포인트, 0.23% 올라간 3만9087.38로 폐장했다.스탠더드 앤드 푸어스(S&P) 500 지수는 전일보다 40.81 포인트, 0.80% 뛰어오른 5137.08로 거래를 끝냈다.기술주 중심의 나스닥 종합지수는 전일에 비해 183.02 포인트, 1.14% 상승한 1만6274.94로 장을 닫았다.☞공감언론 뉴시스 yjjs@newsis.com ",http://v.daum.net/v/20240302060919481
3,"  [속보] ‘PCE 효과’ 미증시 일제 상승, 나스닥 1.14%↑ 또 사상최고  ",뉴스1,박형기 기자,2024. 3. 2. 06:02,sinopark@news1.kr ,http://v.daum.net/v/20240302060223369
4,"  [속보]뉴욕증시, S&P500·나스닥 이틀째 사상최고...엔비디아, 4% 급등  ",파이낸셜뉴스,송경재,2024. 3. 2. 06:02,dympna@fnnews.com 송경재 기자,http://v.daum.net/v/20240302060200366
5,"  [속보]필라델피아반도체지수 4.29% 급등, 연이틀 사상최고  ",뉴스1,박형기 기자,2024. 3. 2. 06:01,sinopark@news1.kr ,http://v.daum.net/v/20240302060157364
6,"  [속보]엔비디아 4% 급등, 800달러 돌파…사상최고 경신  ",뉴스1,박형기 기자,2024. 3. 2. 06:00,sinopark@news1.kr ,http://v.daum.net/v/20240302060057336
7,  [모던 경성]‘안중근’ 영화 만든 ‘상해의 풍운아’ 정기탁  ,조선일보,김기철 학술전문기자,2024. 3. 2. 06:00,"‘조선 사람 안중근이 북만 할빈(哈爾賓)정거장에서 이등박문(伊藤博文)공에게 총을 발사하야 당시 내외국 사람의 이목을 경동케하였음은 우리가 모두 아는 바인데 이제 평양 사는 정기탁 군은 상해에 있는 중국 활동사진회사인 백대(百代)필림공사의 후원을 얻어 전기 안중근의 사건을 촬영하야 가지고 방금 상해를 위시하야 중국 각지로 순회하며 일반에게 관람케….’(‘한말 안중근의 伊藤公 저격한 영화’, 조선일보 1928년 10월5일)‘안중근’ 영화가 중국에서 제작돼 상해를 비롯한 중국 각지에서 흥행하고 있다는 기사가 신문에 났다. 일제 통치가 서슬푸를 때였다. 정기탁이란 평양 사람이 제작했다는 소식을 전한 짧은 기사는 눈에 잘 띄게 2단으로 편집됐다. 정기탁은 누구인가? 1920년대 중국 상해 영화사에서 ‘안중근’을 주제로 한 영화를 만든 인물이라니…◇나운규와 함께 활동한 1세대 영화인정기탁(1903~1937)은 ‘아리랑’의 나운규 감독과 같은 영화에 출연하기도 한 감독 겸 배우이자 조선 최초로 해외에 진출한 영화인이다. 평양 태생으로 아버지는 상당한 재산가였는데 광성 소학교를 졸업한 뒤 경성 배재고보에 입학했다. 고보 2학년을 마치고, 상해에 건너가 4년간 ‘음악과 운동’에 힘썼다고 한다. 야구, 축구는 물론 100미터 기록 11초21로 운동은 조금씩 다 하는데다 바이올린 연주도 ‘범인 앞에서는 내로라고 할 만큼 하는’ 실력이었다.(‘조선영화계 明星점고 4 정기탁,동아일보 1926년10월26일)◇'色魔역이 장기’정기탁은 1925년 이광수 소설을 영화화한 ‘개척자’로 데뷔했다. 계림영화협회 이경손 감독이 연출한 영화로 나운규도 함께 출연했다. 1926년 이수일과 심순애가 주인공인 ‘장한몽’에서 이수일의 연적 김중배로 나서 주목을 받았다. 고려말 홍건적을 다룬 ‘산채왕’ 주역으로도 나섰다. 같은 해 아버지 도움을 받아 ‘봉황의 면류관’을 제작, 주연을 맡아 상해로 수출까지 꿈꿨으나 흥행에 실패했다. 1927년 나운규가 감독한 ‘금붕어’에 출연했고, 1928년 제작까지 맡은 ‘춘희’에 김일송과 함께 남녀 주연으로 출연했다. 데뷔작부터 국내 마지막 작품 ‘춘희’까지 6작품 중 ‘금붕어’를 제외하곤 모두 이경손 감독과 호흡을 맞춘 게 이채롭다.정기탁은 자신을 소개하는 짤막한 설문에 ‘색마역’이 장기라고 답했다. ‘제일 좋았을 때’는 ‘사랑을 찾아 황해를 건너던 때’. ‘제일 좋았던 일’은 ‘크리스마스날 저녁에 첫 연인과 한가지 밤참을 먹던 일’을 꼽았다.(‘영화배우순례 정기탁’, 조선일보 1927년 7월2일). 배우다운 로맨틱한 말솜씨였다.◇당대 스타 阮玲玉과 출연‘춘희’ 흥행은 신통찮았던 듯하다. 1928년 여름 아내 김일송(중국에선 정일송이란 이름을 썼다)과 함께 상해로 건너간 정기탁은 안중근 사건을 다룬 ‘애국혼’(1928)을 시작으로 영화 9편을 연출했고, 12편에 배우로 출연했다. 1920년~1930년대 상해 최고 스타배우인 완령옥(阮玲玉) 과 함께 주연을 맡거나 주인공으로 기용할 만큼 중국 영화계의 주역으로 활약했다.당시 상해는 ‘동아시아의 할리우드’로 소문날 만큼, 영화의 중심지였다. 1927년 중국 전역의 영화사 179개 중 142개가 상해에 있었고, 제작편수도 총 178편 중 172편이 상해에서 제작될 정도였다. 조선 영화계가 1년에 10편 안팎의 영화를 내놓던 시절이었다. 정기탁은 1934년 ‘상해여, 잘 있거라!’(再會吧,上海)를 마지막 연출했다. 이후 행적은 묘연하다.◇안중근 역, 직접 연기안중근 사건을 다룬 ‘애국혼’은 1928년 상해의 중국 영화사 ‘대중화백합영화사’(大中華百合影片公司)가 제작해 개봉했다. 상해교민단장인 여운형 소개로 대중화백합영화사 관계자를 소개받았다고 한다. 정기탁의 대중화백합영화사 합류와 ‘애국혼’ 제작은 그해 7월 상해 현지 신문에도 보도될 만큼 관심거리였다. ‘대중화’와 ‘백합’ 영화사가 합병한 이 회사는 상해의 메이저 영화사였다. 정기탁이 감독을 맡았고, 중국 유명 감독이자 배우인 왕원룡(王元龍)이 책임 프로듀서를 맡았다. 정기탁과 김일송, 중국의 탕천수(湯天綉), 왕내동(王乃東)이 출연했다.◇黎나라 안중권, 魏나라 등박문을 하얼빈서 암살‘애국혼’은 안중근 의사가 이등 박문을 암살한 사건에서 모티브를 가져왔다. 영국 유학파인 위(魏)나라 사람 등박문(藤博文)이 이웃 여(黎)나라를 빼앗자 여나라 사람 안중권(安仲權)이 상해로 망명했다가 혁명가 주한룡을 만나 의기투합하고, 하얼빈에서 등박문을 암살한다는 줄거리다. 이름과 상황을 바꾸었으나 누구나 ‘안중근’을 다루고 있다는 사실을 알아차릴 수있게 했다. 안중권은 정기탁이 맡았고, 그의 아내 김일송도 안중권 여동생 옥실을 맡아 주한룡과의 러브 스토리를 엮었다.‘애국혼’은 3개월간의 제작, 촬영을 거쳐 1928년 11월7일 상해 중앙극장(上海 中央大戲院, 현 상해 인민공원 근처 工人文化宮)개봉을 시작으로 시내 주요 영화관에서 교대로 상영했다. 손과지 상해 복단대 교수팀은 당시 신문보도와 영화 광고에 의거, 상해의 ‘애국혼’ 상영 상황을 표로 정리했다. 확인된 것만 19차례, 짧게는 하루부터 길게는 9일간 이어졌다. 북경, 천진, 항주, 남통은 물론 광서성 계림에서도 상영됐다. 한중 혁명가들의 공동 항일 투쟁을 내세워 관객들의 공감을 이끌어낸 점이 주효한 덕분에 인기몰이에 성공했다.◇'애국혼’ 원본 발견 못해아쉽게도 안중근 사건을 다룬 ‘애국혼’필름은 현재까지 찾을 수없다. 하지만 중국 언론에서 이 영화를 대대적으로 다뤘고 중국 전역에서 상영될 만큼 흥행도 꽤 성공을 거뒀다. 정기탁이 상해에서 영화를 계속할 수 있었던 것도 ‘애국혼’덕분이라고 하니, 중국 영화계에서도 높은 평가를 받은 것이다.상해 데뷔작 ‘애국혼’으로 실력을 인정받은 정기탁은 ‘삼웅탈미’(三雄奪美) ‘화굴강도’(火窟江刀) ‘여해도’(女海盜) ‘정욕보감’(情欲寶鑑) ‘흑의기사’(黑衣騎士) ‘은막지화’(銀幕之花)를 연출했다. 완령옥과 짝을 이룬 ‘정욕보감’을 비롯한 몇몇 작품에선 주연을 겸했다. ‘진주관’(眞珠冠) 등 감독을 맡지 않은 영화에 배우로 출연하기도 했다. 1930년 8월 ‘대중화백합영화사’가 ‘연화영화사’(聯華影業公司)로 합병되기까지 2년간 영화 7편을 연출하고, 배우로 출연한 작품도 10편이 넘는다. 촬영장에서 밤낮을 지새우는 나날이었다.◇일본서 찍은 ‘상해행진곡’, 도중하차1930년부터 1933년 6월까지 정기탁의 행적은 흐릿하다.일본에 건너가 제국영화회사의 ‘상해행진곡’연출을 맡았다는데, 촬영 도중 영화가 엎어졌다. 상해로 돌아온 정기탁은 1933년 6월 연화영화사에 합류, ‘출로’(出路·당시 개봉제목 ‘광명의길’)를 연출했지만 흥행에 실패했다.그의 마지막 작품은 ‘상해여, 잘 있거라!’(再會吧,上海)였다. 시골 여교사 백로(白露)가 꿈을 안고 의사의 아기를 낳은 뒤 댄서로 전전한다. 끝내 아이가 죽자 상해와 작별하는 줄거리를 담았다. 인기 절정의 완령옥이 백로를 연기해 대성공을 거뒀다.◇‘상해여, 잘 있거라!’ 필름들고 귀국정기탁은 1935년 10월 쯤 ‘’상해여, 잘 있거라!’필름을 들고 귀국했다. 당시 신문은 그의 귀국과 영화 상영 소식을 알리면서 줄거리까지 소개했다.‘정기탁군(鄭基鐸君)은 일즉이 중국 영화계에서 이채(異彩)를 이루던 명감독(名監督)인데 금번 자기의 감독작품인 ‘잘 있거라, 상해여’를 안고 고국으로 돌아왔다.때마침 조선의 영화계도 새싹이 트려는 때라 군(君)의 작품을 물론 반가이 맞아 주리라고 안다. 동(同) 영화의 주연배우는 완령옥(阮鈴玉)이다. 완영옥은 중국의 유일한 인기 여우(女優)로 요전 자살(自殺)하야 죽었는데 그 점으로써도 동 영화는 상당한 인기를 끌지 안을까 한다.(‘정기탁 감독의 ‘잘있거라, 상해’梗槪', 조선일보 1935년12월3일)◇우미관서 상영한 정기탁 최후작‘상해여, 잘있거라!’는 1936 년 6월2일부터 종로 우미관에서 상영됐다. 조선중앙일보 1936년 6월2일자에 우미관 광고가 실려있다. ‘다정다한한 감상의 애상편! 6월2일부터 특별대공개. 상해 련화영업공사 초특작품! 원작 각색 감독 정기탁씨 상해야 잘 있거라 중국이 낳은 요염미희 완령옥 대열연’ 정기탁이 상해에서 만들거나 출연한 영화 중 조선에서 공개된 유일한 작품이었다.정기탁 감독의 최후작 ‘상해여, 잘 있거라!’는 한국영상자료원이 일부 소장하고 있다. 지금도 관람이 가능하다. 불완전하지만 이 세상에서 볼 수 있는 정 감독의 유일한 작품이다.◇평양 헌병대에 체포, ‘불온한 계획’1936년 9월 신문에 돌연 이런 기사가 났다. ‘평양 헌병대 특고과에서는 20일 새벽에 대활동을 개시하여 부(府)내 상수리(上需里) 방면에서 일찍이 영화계의 ‘스타-’로 이름이 높았고 상해에서 영화감독으로도 명성을 날린 정기탁을 검거 유치하고 극비밀리에서 취조를 진행하는 일방, 가택수사를 하여 문서 다수를 입수해갔는데 내용은 일체 알 길이 없으나 중국 방면과 연락하여 모종의 불온한 계획을 하던 것이 탄로된 모양도 같으며 검거는 다른 방면에까지 파급될지도 모른다고 한다.’(‘평양헌병대 정기탁 검거’, 조선일보 1936년9월23일)정기탁이 독립운동 사건에 연루돼 헌병대에 체포됐다는 소식이었다. 정기탁 체포와 관련된 속보는 더 이상 찾을 수없다.그러다 1937년 평양 대동강에 투신해 목숨을 끊었다는 소문이 나돌았다. 가난때문이라는 얘기도 있고, 앞서 죽은 김일송을 그리워해 자살했다는 전언도 있다. 그의 마지막은 여전히 불투명하다. 1937년 이후 행적이 확인되지 않는 것으로 보다 그해 숨진 것은 사실인 것같다. 나운규가 같은 해 세상을 뜬 것도 공교롭다. 1920년대~1930년대 조선과 중국 영화계를 넘나든 풍운아의 최후는 이렇게 미스터리로 남았다.◇참고자료손과지·유호인, 안중근 의사가 이토 히로부미를 저격한 사건의 예술적 해석: 정기탁과 그의 영화 ‘애국혼’, 통일인문학 95, 건국대 인문학연구원, 2023,9배상국, 한·중 영화교류 1세대 대표 영화인 ‘정기탁’ 연구: 중국활동시기(1928~1934)를 중심으로, 씨네포럼 제38호, 동국대영상미디어센터, 2021,4이영재·홍지영, 협과 액션, 동아시아 액션 영화의 역사적 기원-정기탁의 ‘애국혼’과 상하이 무협영화, 한국현대문학연구 제61집, 한국현대문학학회, 2020, 8신원선, 일제 강점기 상해 재유동포 영화 연구-’상해여, 잘 있거라!’(再會吧,上海)를 중심으로-. 민족문화논총 제56집, 영남대 민족문화연구소, 2014,4안태근, 일제 강점기의 상해파 한국 영화인 연구, 한국외대 정책과학대학원 석사 논문, 2001조선 뉴스라이브러리 100 바로가기※'기사보기’와 ‘뉴스 라이브러리 바로가기’ 클릭은 조선닷컴에서 가능합니다.",http://v.daum.net/v/20240302060025298
8,"  [속보]IPO 준비하는 레딧, 시가총액 최대 65억달러 목표  ",파이낸셜뉴스,송경재,2024. 3. 2. 05:53,dympna@fnnews.com 송경재 기자,http://v.daum.net/v/20240302055320199
9,"  [속보] 민주, 심야 최고위 의결...평택을 이병진 전략공천  ",경기일보,김영호 기자,2024. 3. 2. 01:39,"   더불어민주당은 2일 심야 비공개 최고위원회의를 열고 평택을에 이병진 평택대 교수를 전략공천 했다. 또 인천 서갑은 김교흥 의원, 인천 서을은 이용우 직장갑질119 법률스태프 변호사 각각 전략공천하기로 결정했다. 경선 지역 대진표도 공개됐다. 구체적으로 안산을은 김철민, 고영인, 김현 3인이 국민참여경선을 한다. 광명을은 양기대, 김남희 후보가 기존 국민경선에서 국민참여경선으로 2인 경선하기로 최종 의결됐다. 인천 서병은 모경종, 신동근, 허숙정 3인의 국민참여경선을, 인천 남동을은 배태준, 이병래 2인 경선에서 영입인재 이훈기 경선후보자가 추가돼 3인의 국민참여경선을 진행한다. 김영호 기자 ho3920@kyeonggi.com ",http://v.daum.net/v/20240302013910582
