,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  배현진 습격 10대 “우발적으로 범행”…경찰, 피해자 조사  ",KBS,이수민,2024. 1. 26. 21:14," [앵커]국민의힘 배현진 의원 피습 속보 전해드립니다.배 의원을 공격한 10대 중학생은 경찰 조사에서 우발적으로 범행했다고 진술했습니다.그러면서 우울증을 앓고 있다고 주장했는데 경찰은 범행 전 행적을 확인하고 있습니다.이수민 기자입니다.[리포트]국민의힘 배현진 의원을 공격한 10대 중학생 A 군.배 의원을 우연히 마주쳐 범행했다고 경찰 조사에서 말했습니다.연예인이 많이 다니는 미용실에서 사인을 받기 위해 기다리다 배 의원을 만났다는 겁니다.범행에 쓰인 돌도 평소 가지고 다녔다고 말했습니다.모두 계획된 범행이 아니라는 취지의 진술입니다.[목격자/음성변조/어제 : ""반항하거나 그런거 전혀 없었고요. 그냥 수갑 차고 나왔다 정도. 그냥 가만 있다가 경찰차 타고 갔다가 끝이었어요.""]우울증을 앓고 있고 최근 증상이 심해져 입원 대기 상태였다고 주장하기도 했습니다.경찰은 체포 이후 이 같은 진술을 확보하고, A 군을 응급 입원시켰습니다.응급 입원은 정신질환자로 추정되는 사람이 급박한 사정이 있는 경우 3일 동안 입원 시킬 수 있는 제도입니다.경찰은 A 군의 휴대전화와 SNS, 범행 전 행적 등을 토대로 진술의 사실 여부를 파악하고 있습니다.배 의원을 방문해 피해자 조사를 진행하고 피습 당시 입었던 옷을 증거물로 확보했습니다.배 의원은 처벌을 원하냐는 경찰의 질문에 네라고 답했습니다.A 군이 재학 중인 서울 강남구의 중학교는 수사 결과가 나오는대로 징계 절차를 밟을 예정입니다.서울시교육청은 ""수사결과와 생활교육위원회 규정에 의거해 적절한 선도조치를 취할 예정""이라고 밝혔습니다.다만, 의무교육과정인 중학교에서는 '퇴학' 처분은 불가능합니다.KBS 뉴스 이수민입니다.이수민 기자 (waterming@kbs.co.kr)",http://v.daum.net/v/20240126211444234
1,"  ""갖고다니던 돌""…배현진 습격 중학생, 우발적 범행 주장  ",JTBC,김지윤 기자,2024. 1. 26. 20:01,"국민의힘 배현진 의원 피습 사건 소식으로 이어갑니다. 범인이 중학생인 걸로 드러나 충격을 더하고 있는데, 경찰 조사에서 평소 들고 다니던 돌로 우발적으로 범행을 저질렀다고 진술한 걸로 확인됐습니다.또 최근 우울증을 앓아왔다고도 진술하면서 바로 응급 입원됐는데 먼저 수사 속보부터 김지윤 기자가 전합니다.[기자]배현진 의원을 공격한 피의자 A군은 서울 강남의 한 중학교에 다니고 있습니다.2009년생, 만 14살입니다.어제(25일) 체포된 직후 A군은 ""범행 2시간 전에 외출했다가 배 의원을 만나 우발적으로 범행을 저질렀다""며 ""최근 우울증이 심해졌다""고 경찰에 진술했습니다.특히 범행에 쓴 돌은 평소 가지고 다니던 것이라고도 했습니다.어젯밤 보호자 입회하에 조사를 마친 경찰은 오늘 새벽 A군을 응급입원 시켰습니다.응급입원은 정신질환이 있는 걸로 추정될 때 3일 이내로 입원시킬 수 있는 제도입니다.주변에선 A군이 평소에도 CCTV 속 모습처럼 얼굴을 가리고 다녔다고 했습니다.[A군이 다녔던 학원 관계자 : 학원 올 때는 후드를 쓰고, 얼굴을 막 드러내는 걸 싫어했던 친구예요.]소셜미디어에는 A군과 같은 학교에 다니는 학생이라면서 A군이 평소에도 문제를 일으켰다는 글이 올라왔습니다.스토킹을 하고, 폭죽 같은 장난감을 던지는 등 주변을 괴롭혔다는 겁니다.이 글은 지금은 지워졌습니다.경찰은 27명 규모의 전담수사팀을 꾸렸습니다.경찰은 지난달 22일 경복궁 낙서범에게 지갑을 던진 남성이 A군과 인상착의가 비슷하다고 보고 같은 사람인지 확인하고 있습니다.[영상디자인 곽세미]",http://v.daum.net/v/20240126200112490
2,"  [속보] 역대급 충격 소식...클롭, 23-24시즌 끝으로 리버풀과 안녕  ",인터풋볼,김대식 기자,2024. 1. 26. 19:49,"리버풀은 26일(한국시간) 공식 채널을 통해 ""클롭 감독은 여름에 자신의 자리를 떠나고 싶다는 의사를 클럽 구단주에게 알린 후 시즌이 끝나면 리버풀 감독직에서 물러나기로 결정했다""고 공식 발표했다.클롭 감독이 리버풀 감독직을 내려놓는다는 소식은 매우 충격적이다. 아무런 신호가 없었기 때문이다. 리버풀 전담 기자들도 이러한 소식을 내놓지 않고 있었다. 클롭 감독은 2015년부터 리버풀을 맡았다. 2010년대 중반까지 큰 위기를 겪던 리버풀은 클롭 감독 체제에서 다시 유럽 최강의 팀으로 거듭났다.2019-20시즌 프리미어리그(PL) 우승으로 리버풀 팬들의 염원을 해소시켜줬다. 2018-19시즌 유럽축구연맹(UEFA) 챔피언스리그 우승 이력도 있다. 이번 시즌에도 리버풀을 리그 1위를 질주하고 있을 정도로 좋은 성적을 내고 있는데 클롭 감독이 스스로 감독직을 내려놓겠다는 결정을 내렸다.",http://v.daum.net/v/20240126194949361
3,"  [속보] 양승태, 사법농단 의혹 ‘무죄’에 “당연한 일 명쾌하게 판단해준 재판부에 경의”  ",세계일보,김수연,2024. 1. 26. 19:46,"양 전 원장은 이날 오후 권리행사 방해 등 47개 범죄 혐의 모두 무죄를 선고받은 뒤 서울중앙지법 청사를 빠져나가면서 이처럼 밝혔다.다만 ‘법정 판단과 별개로 부적절한 처신이라는 말이 있다’, ‘검찰 수사가 무리했다는 비판이 있다’는 질문 등에는 답하지 않았다. 함께 기소됐다 무죄를 선고받은 박병대·고영한 전 대법관 역시 취재진 질문에 아무런 답을 하지 않았다.김수연 기자 sooya@segye.com",http://v.daum.net/v/20240126194658325
4,  [속보] 무안 종오리농장 고병원성 AI 확진…올겨울 30건 돌파  ,농민신문,이연경 기자,2024. 1. 26. 19:31," 전남 무안 종오리농장에서 발생한 조류인플루엔자(AI) 항원이 26일 고병원성으로 최종 확인됐다. 이로써 올겨울 고병원성 AI 감염 건수는 30건으로 늘어났다.  고병원성 AI  중앙사고수습본부(본부장 송미령·농림축산식품부 장관)는 무안 종오리농장에서 H5형 고병원성 AI가 확진됐다고 밝혔다. 항원 확인 사실을 밝힌지 하루만이다. 해당 농장은 1만여마리를 사육한다.   고병원성 AI는 이달 10일 경북 의성을 끝으로 보름간 발생하지 않았다. 무안지역에서는 이달 4일 육용오리농장에서 발생한 것이 마지막이었다.  무안 종오리농장 발생으로 지난해 12월3일부터 현재까지 가금농장 고병원성 AI 감염 건수는 30건이 됐다. 육용오리 11건, 종오리 2건, 육용종계 2건, 산란계 15건 등이다.  이번 사례가 고병원성으로 확인되면 지난해 겨울부터 현재까지 가금농장 고병원성 AI 감염 건수는 30건으로 늘어난다. 앞서 중수본은 25일 H5형 항원을 확인한 즉시 해당 농장에 초동대응팀을 투입해 출입 통제, 예방적 살처분, 역학조사 등 선제적인 방역조치를 시행했다. 중수본은 바이러스 접촉 가능성이 있는 철새 도래지 등에 출입하지 말아 달라고 당부했다.  또 ▲농장 출입 차량 2단계 소독(고정식 소독기와 고압분무기 소독) ▲달걀 운반 차량의 농장 내 진입 금지 ▲축사 출입 전 전용 장화 갈아신기 ▲기계·장비 등을 축사 내 반입 때 세척·소독 조치 등 기본적인 방역수칙을 철저히 준수해달라고 강조했다. 아울러 사육 중인 가금에서 폐사 사례가 늘고 산란율이 떨어지는 등 고병원성 AI가 의심되는 주요 증상이 나타나면 즉시 방역 당국으로 신고해달라고 주문했다.  또 사료섭취 저하, 졸음 같은 가벼운 증상을 확인해도 즉시 방역 당국으로 알려달라고 요청했다. ",http://v.daum.net/v/20240126193116171
5,"  [속보] 양승태 ""명백하게 판결 내려주신 재판부에 경의""  ",한국경제,안혜원,2024. 1. 26. 19:12,안혜원 한경닷컴 기자 anhw@hankyung.com,http://v.daum.net/v/20240126191202907
6,"  [단독]배현진 습격범, 90분 전 미리 와서 대기  ",채널A,이준성,2024. 1. 26. 19:09,"배 의원을 습격한 괴한의 정체는 중학생으로 드러났는데요. 경찰 조사에서 “우발적 범행”이라고 주장하고 있습니다. 그런데 저희가 확보한 영상에는 범행 1시간 반 전부터 현장에 도착해 건물 이곳저곳을 살펴보고, 누군가를 기다리는 듯한 모습이 포착됐습니다. 며칠 전에도 이 건물에 왔었다는 목격담도 나왔습니다. 이준성 기자의 단독보도입니다. [기자] 회색 모자와 마스크로 얼굴을 가린 남성이 건물 앞을 서성입니다.  건물 안내판을 유심히 살펴보고는 건물 안으로 들어갑니다.  그리고는 곧장, 계단을 올라갑니다. 건물 2층엔 어제 습격당한 국민의힘 배현진 의원이 이용하는 미용실이 있었습니다.  어제 배 의원을 습격한 10대 청소년 A군은 범행 1시간 30분 전부터 이곳에 모습을 드러냈습니다.  1시간 넘게 건물 안팎을 어슬렁거리며 오가더니 건물 내부를 구석구석 돌아보기까지 합니다.  그리곤 건물 1층 출입구 앞에 서서 누군가를 기다리는 듯 창밖을 응시합니다. 휴대전화를 수시로 확인하는데 확대해보니 여성 사진입니다.  그러다 배 의원이 도착하자 곧장 건물 밖으로 나갔고, 배 의원과 함께 건물 안으로 걸어 들어오며 갑자기 범행을 저질렀습니다. 불과 10초 안팎에 벌어진 일입니다. 비명을 듣고 나온 직원들에게 제지당하자 저항도 하지 않고 차분히 두 팔을 내밉니다.  목격자들은 이때 A군이 ""도망가지 않을 테니 체포해가세요""라고 말했다고 설명했습니다.  또 A군은 범행 며칠 전에도 해당 건물을 찾아왔던 걸로 알려졌습니다.  [목격자] ""일주일 전엔가 한번 와서 '(미용실) 여직원 중에 누구 있냐'고…그래서 안에 와서 한번 싹 보고 '여기 없는가 보네요'하고 갔대."" 경찰은 A군의 이런 행적을 자세히 분석해 계획적으로 범행을 저지른 것인지 등을 조사하고 있습니다. 채널A 뉴스 이준성입니다. 영상편집 : 이혜리 이준성 기자 jsl@ichannela.com",http://v.daum.net/v/20240126190908857
7,  1800만 원 쓰레기장 갈 뻔…매트리스에서 ‘현금 다발’ 발견  ,채널A,입력 2024. 1. 26. 19:06,2024. 1. 26. 19:06,"[김종석 앵커] 어제 저희가 속보를 전해드리다 미처 못 닿았던 이야기 또 한 번 준비했어요. 왜냐하면 이것이 오늘 사회적으로 많이 이야기가 나와서. 허 변호사님, 정말 큰일 날 뻔한 사건이었어요. [허주연 변호사] 80세 노인이 한 달에 100만 원 용돈 받는 것 중에서 일부를 매트리스 사이에 꼬깃꼬깃 모아서 1800만 원을 만들어 뒀는데 이것이 다른 지역에서 온 자녀의 실수로 매트리스를 버리게 됐고 같이 버려질 뻔하다가 주인을 찾아간 건데요. 이 주인을 찾은 사람이 누구였냐면 신임 경찰관이었다고 합니다. 아파트에 쓰레기 버리러 나왔다가 매의 눈으로 매트리스를 놓치지 않고 이 돈을 찾아줬다는 건데요. 경찰관 신임이지만 아마 눈썰미만큼은 베테랑이 아닌가 싶습니다. -------------------------------------------- * 위 텍스트는 실제 토크 내용의 일부분입니다. 전체 토크 내용은 동영상으로 확인하시기 바랍니다. * 정리=김지현 인턴",http://v.daum.net/v/20240126190602810
8,  [속보] 양승태 “명백하게 판결 내려주신 재판부에 경의”  ,헤럴드경제,입력 2024. 1. 26. 19:03,2024. 1. 26. 19:03,newday@heraldcorp.com,http://v.daum.net/v/20240126190346757
9,  15세 중학생 습격범…“정치에 관심 많았다”  ,채널A,입력 2024. 1. 26. 19:01,2024. 1. 26. 19:01,"[김종석 앵커] 보신 그대로입니다. 금요일 뉴스 TOP10은 충격적인 서울 한복판에서 벌어진 배현진 의원의 피습 사건 속보부터 먼저 만나봐야겠습니다. 일단 가장 중요한 것은 배현진 의원의 몸 상태일 겁니다. 지금 알려지기로는 배 의원이 타박상과 어지럼증이 심한 상태로 지금 절대 안정이 필요하다는 의료진의 소견을 받고 있는데요. 일단 배 의원의 쾌유를 먼저 빌겠습니다. 그러면 현장에서 체포된 10대 중학생 관련해서 어제오늘 경찰을 통해서 혹은 언론을 통해 새롭게 알려진 내용들이 있습니다. 하나하나 짚어보겠습니다. 이현종 위원님. 그리고 조금 전에 일단 배현진 의원 측에서 사건 초기 피습 초기에 부상 정도를 알 수 있는 출혈이 있는 사진을 공개했습니다. 저희는 당연히 제작진 차원에서 뿌옇게 처리한 사진. 배 의원의 후두부. 그러니까 머리 뒷부분의 상처들이 사진을 통해서 공개가 됐는데요. 이현종 위원님. 보셔도 다량의 혈흔 얼마나 당시 상황이 급박했고 충격적이었는지를 미루어 짐작할 수 있을 것 같아요. [이현종 문화일보 논설위원] 그렇죠. 조금 전에 화면을 잠깐 보여드렸는데 전체 화면은 아마 너무 충격적이어서 방송사에서 보내드릴 수가 없습니다만. 제가 이렇게 따로 보니까 정말 너무나 소름이 끼쳤습니다. 단 18초 동안 17차례에 걸쳐서 가격을 하는데요. 그것도 굉장히 온 힘을 다해서 가격을 했고 저기서 배현진 의원이 저렇게 이야기를 나누다가 바로 가격을 시작하는데. 문제는 뒤로 넘어졌지 않습니까, 배현진 의원이. 그러면서 앞부분뿐만 아니라 뒷부분 두부도 상당히 다쳐서 피를 많이 흘린 것 같습니다. 이것이 다른 어떤 몸보다는 머리 부분은 이것이 잘못 다치면 정말 큰일이거든요. 머리 부분 같은 경우는 주로 의사들 이야기를 들어오면 오히려 피가 나야만 그나마 안전한데. 피가 안 나 버리면 안쪽에서 만약에 피가 고이거나 할 경우는 굉장히 위험하다고 합니다. 지금 보면 저 범인이 정말 흉기로 17차례에 걸쳐서 아주 빠른 속도로 가격을 했고 아마 배현진 의원도 필사적으로 손으로 밀쳐내는 모습들. 그리고 살려 달라, 살려 달라 이야기를 하니까 바로 옆에 있는 식당에 있는 종업원이 나와서 그때 이제 제지를 해서 이 상태가 멈추었거든요. 정말 제가 볼 때는 아마 조금 더 가격 행위가 더 지속되었다든지 문제 생겼으면 큰일이 날 뻔했습니다. 저런 것을 보면 오늘 배현진 의원이 치료를 끝내고 일반 병동으로 옮겨서 당시에도 의식이 있었고 병원에 갈 때도 의식이 있었거든요. 당시 상황들을 아주 소상하게 진술을 했다고 합니다. 특히 증거품 같은 경우에 지금 좀 전에 입고 있었던 옷에 피 흘린 부분들. 꽤 많은 피를 흘린 것 같습니다. 그런 것들을 이제 지금 경찰에다가 증거자료로 일단 제출을 한 것 같습니다. 그만큼 당시에 정말 흉기가 돌 같은 것으로 보이는데 부서질 정도로 온 힘을 다해서 가격을 했기 때문에 굉장히 많은 피도 흘렸고 피해가 큰데. 그나마 정말 천운이었던 것 같습니다. -------------------------------------------- * 위 텍스트는 실제 토크 내용의 일부분입니다. 전체 토크 내용은 동영상으로 확인하시기 바랍니다. * 정리=김지현 인턴",http://v.daum.net/v/20240126190149729
