,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보]미, 이란 지원받는 시리아·이라크 무장세력 공습 개시  ",파이낸셜뉴스,송경재,2024. 2. 3. 06:33,dympna@fnnews.com 송경재 기자,http://v.daum.net/v/20240203063332839
1,"  [속보] 시리아 방송 ""美, 시리아·이라크 접경지 등 타격…사상자 다수""  ",연합뉴스,신유리,2024. 2. 3. 06:31,▶제보는 카톡 okjebo,http://v.daum.net/v/20240203063132826
2,"  [속보] “美, ‘미군 3명 사망’에 대한 보복 타격 이라크·시리아서 시작”  ",매일경제,김현정 매경닷컴 기자(hjk@mkinternet.com),2024. 2. 3. 06:27,Nan,http://v.daum.net/v/20240203062700799
3,"  [속보] ""美, '미군 3명 사망'에 대한 보복 타격 이라크·시리아서 시작""  ",연합뉴스,김병수,2024. 2. 3. 06:20,▶제보는 카톡 okjebo,http://v.daum.net/v/20240203062029772
4,"  [속보] “美, ‘미군 3명 사망’에 대한 보복 공격 개시”  ",국민일보,권남영,2024. 2. 3. 06:16,"미국이 친이란계 민병대의 드론 공격으로 요르단 미군기지에서 미군 3명이 사망한 사건에 대한 보복 타격을 개시했다.2일(현지시간) 미국 정부 관계자는 “(친이란 민병대의) 요르단 기지 공격에 대한 미군의 보복 타격이 시리아에서 시작됐다”고 미국 ABC 방송에 밝혔다.권남영 기자 kwonny@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지",http://v.daum.net/v/20240203061605746
5,  [속보]S&P500 사상 최고치 또 경신…메타 20%↑  ,이데일리,김상윤,2024. 2. 3. 06:13," [뉴욕=이데일리 김상윤 특파원] 뉴욕증시가 이틀 연속 상승세를 이어갔다. 지난달 31일(현지시간) 연방준비제도의 연방공개시장위원회(FOMC) 이후 급락했던 이후 빠르게 회복세를 보이고 있다. 기술주이 실적 호조에 힘입어 다시 랠리를 펼쳤던 덕분이다. 서프라이즈한 실적과 사상 첫 배당을 실시한 메타는 무려 20%나 급등했다.대형주 벤치마크인 S&P500지수는 1.07% 오른 4958.61를, 기술주 위주의 나스닥지수는 1.74% 상승한 1만55628.95에 거래를 마쳤다. S&P500지수는 사상 최고치를 또 경신했다.메타는 지난해 4분기 월가 예상을 뛰어넘는 실적을 내놓으면서 20.3%나 급등했다. 아마존 역시 4분기 실적 호조에 힘입어 7.87% 상승했다.이날 발표된 데이터는 시장에 호재는 아니었다. 둔화세를 보이고 있던 미국 고용시장이 다시 뜨거워진 것으로 나타났기 때문이다. 미국 노동부 고용통계국은 지난해 1월 비농업고용이 35만3000건 늘었다고 밝혔다. 이는 월스트리트저널(WSJ)이 집계한 전문가 예상치 18만건을 크게 웃도는 수치다. 고용통계국은 전달 건수도 21만6000건에서 33만3000건으로 수정했다. 두달연속 30만건 이상의 일자리가 창출된 것이다.인플레이션을 끌어올리는 원인 중 하나인 시간당 평균임금은 전월 대비 0.6% 올랐다. 2022년 3월 이후 가장 큰폭으로 늘었고, 상승폭이 전문가 예상치(0.3%) 두배에 달했다. 전년비로도 4.5% 늘어 예상치(4.1%)를 훨씬 웃돌았다. 연준의 물가상승률 목표치 2%를 두배 가량 웃도는 수치다.임금 상승률이 높으면 소비자들이 추가적인 소비 여력이 커지면서 물가를 다시 끌어올릴 여지가 커진다. 찰스 슈왑의 수석 채권 전략가인 캐시 존스는 “시간당 평균 임금 상승률이 4.5%에 달하는 것은 잠재적인 인플레이션을 시사한다”며 “연준이 (3월에) 금리 동결하는 것은 확실시된다”고 평가했다. 연준의 금리인하도 예상보다 더 더뎌질 수 있는 셈이다.하지만 이런 환경에서도 기술주들이 실적 호조세를 보이고 있는 점은 투자자들을 고무시켰다. 고금리 상황에서도 기업들의 실적이 뒷받침된다면 증시랠리가 이어질 수 있다고 판단한 것이다.40억 달러의 자산을 관리하는 서튜이티의 공동 최고 투자 책임자인 딜런 크레머는 “오늘 기술주 흐름을 보면 금리와 분리돼 더 많이 거래될 수 있음을 보여줬다”고 평가했따.김상윤 (yoon@edaily.co.kr) ",http://v.daum.net/v/20240203061324729
6,"  [속보]뉴욕증시, 메타 20% 폭등...3대 지수 이틀째 상승  ",파이낸셜뉴스,송경재,2024. 2. 3. 06:01,dympna@fnnews.com 송경재 기자,http://v.daum.net/v/20240203060141565
7,  [속보] '메타 랠리' 미증시 일제 상승…나스닥 1.74%↑  ,뉴스1,박형기 기자,2024. 2. 3. 06:01,sinopark@news1.kr ,http://v.daum.net/v/20240203060135562
8,  [속보] '깜짝 실적' 메타 정규장서 20% 폭등  ,뉴스1,박형기 기자,2024. 2. 3. 06:00,sinopark@news1.kr ,http://v.daum.net/v/20240203060040538
9,  [속보] 클린스만號 아시안컵 준결승 극적 진출...SON 앞세워 9년 만 호주에 설욕  ,세계일보,김수연,2024. 2. 3. 03:21,"클린스만호는 후반 추가 시간에 들어갈 때까지 0-1로 끌려가면서 패색이 짙었으나 손흥민이 극적으로 얻어낸 페널티킥을 황희찬(울버햄프턴)이 성공시켜 극적으로 연장 승부에 들어갔다.손흥민은 이어 연장 전반 14분 황희찬이 상대 페널티 박스 앞에서 얻은 프리킥을 골로 연결해 4강행에 앞장섰다. 연장 전반 추가 시간 상대 미드필더가 거친 태클로 레드카드를 받고 퇴장했고, 이후 한국은 연장 후반 경기가 끝날 때까지 리드를 지켜냈다. 이로써 한국은 다시 요르단을 만나 결승 진출을 노리게 됐다. 앞서 한국 대표팀은 전반 초반부터 점유율에서 앞서며 경기를 주도했으나 좀처럼 위협적인 장면을 만들어내지 못했다.황희찬이 전반 31분 설영우(울산 HD)의 컷백을 슈팅으로 연결해 골망을 흔들었으나 설영우가 오프사이드 위치에 있던 것으로 판정돼 아쉬움을 삼켜야 했다.오히려 전반 42분 상대 크레이그 구드윈에게 실점했다. 수비 진영에서 패스 실수를 한 황인범(즈베즈다)의 실수가 뼈아팠다. 슈팅 수에서 0-6으로 뒤진 채 전반을 마쳤었다.김수연 기자 sooya@segye.com",http://v.daum.net/v/20240203032123622
