,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보]뉴욕증시, 이틀 연속 상승...S&P500, 5000 육박  ",파이낸셜뉴스,송경재,2024. 2. 8. 06:03,dympna@fnnews.com 송경재 기자,http://v.daum.net/v/20240208060307723
1,"  [속보] 엔비디아 3% 급등, 시총 1조7000억달러 돌파  ",뉴스1,박형기 기자,2024. 2. 8. 06:01,sinopark@news1.kr ,http://v.daum.net/v/20240208060114671
2,  [속보] 전일 31% 폭등했던 팔란티어 오늘도 8% 급등  ,뉴스1,박형기 기자,2024. 2. 8. 06:00,sinopark@news1.kr ,http://v.daum.net/v/20240208060055646
3,"  [속보] 미증시 일제 상승, S&P500 또 신고가…5000 근접  ",뉴스1,박형기 기자,2024. 2. 8. 06:00,sinopark@news1.kr ,http://v.daum.net/v/20240208060037621
4,"  [속보] 네타냐후 ""인질 석방위해 군사적 압박 계속해야""  ",연합뉴스,김상훈,2024. 2. 8. 02:40,▶제보는 카톡 okjebo,http://v.daum.net/v/20240208024012358
5,  ‘ 학폭위 조사 결과 불만’ 교육청 방화시도 50대 항소심도 실형  ,강원도민일보,신재훈,2024. 2. 8. 00:06,"속보=학교폭력위원회 조사 결과에 불만을 품고 춘천교육지원청 건물에 불을 지르려고 시도, 출동한 경찰에게도 휘발유를 뿌린 50대(본지 2023년 9월 25일자 5면 등)가 항소심에서도 실형을 면치 못했다.7일 서울고법 춘천재판부 형사1부(김형진 부장판사)는 특수공무집행방해치상과 특수협박 혐의로 기소된 A(59)씨에게 원심과 같은 징역 2년을 선고했다. 함께 기소된 아내(49)와 딸(21)에게도 각 징역 1년 6개월에 집행유예 2년을 선고한 원심 판단을 유지했다. A씨는 지난해 6월 16일 춘천교육지원청 앞에서 아내와 자녀 4명을 이끌고 휘발유 1.5ℓ와 라이터 7개로 건물에 불을 지르려고 한 혐의로 재판에 넘겨졌다.신재훈 ericjh@kado.net",http://v.daum.net/v/20240208000656732
6,"  의대 2000명 증원 의료계 반발…정부, 집단행동 금지 명령  ",강원도민일보,김정호,2024. 2. 8. 00:06,"속보=정부가 지난 6일 의대 정원을 2000명 늘리기로 발표(본지 2월 7일자 4면) 이후 의료계가 이에 반발하며 집단 휴진 등 대응에 나선다고 밝힌 가운데 복지부는 이를 불법 행위로 규정하고 강경대응에 나선다는 입장을 표했다.보건복지부는 6일 오후 의대증원 발표와 함께 의사 집단행동에 대비하기 위해 보건의료 위기 단계를 ‘경계’ 단계로 상향 발령하고 보건복지부 내 의사 집단행동 중앙사고수습본부를 즉각 운영하기로 결정했다. 추가로 7일 오전에는 전국 17개 시도 보건국장을 소집한 대책회의도 진행했다. 더불어 정부는 국민 생명·건강에 위해를 주는 행동에 대해 법에 따라 엄정하게 대응한다는 원칙하에 의료법 제59조에 의거, 대한의사협회 집행부 등에 대해 집단행동 및 집단행동 교사 금지를 명하는 등 강경 대응에 나섰다.하지만 강원도내에서도 의대 증원과 관련된 반발은 계속되고 있는 상황이다. 강원도의사회는 7일 성명을 발표하고 의대 증원 발표를 의료계 사망 선고라 지적했다. 이들은 성명서를 통해 “우리나라 현 의료체계와 의사 인력 양성체계라는 구조가 유지되는 한 의사 증원정책은 문제 해결에 전혀 도움이 되지 않음은 학자들의 견해”라며 “실습실, 강의실, 기초의학교수가 부족한 현 상황은 무시하고 학생이 늘어날 때 생기는 의료질 저하와 이공계 기피 현상, 국민건강은 누가 책임질 것인가”라며 의대 증원을 규탄했다. 이어 “필수 중증진료과와 지방 의료인력이 이탈하는 이유는 의사 책임이 아닌 30년간 지속돼 온 저수가 정책 탓”이라며 “정부가 국민건강을 위한 목적으로 엉터리 자료를 토대로 2000명을 늘렸다고 책임을 다했다고 한다면 의료계는 패키지 정책 철폐와 미래세대를 위한 올바른 의료정책 확립을 위해 증원 정책 반대를 선언한다”고 밝혔다.의료기관에서도 혹시 모를 전공의 및 인턴 파업을 대비해 수련담당부서에서 상황을 지켜보고 있다. 강원대병원은 7일 전공의와의 간담회를 통해 집단행동 여부를 파악하는 자리를 가졌고 원주세브란스기독병원에서도 수련 담당 교수와 직원들이 전공의 집단행동 여부를 예의주시하고 있다. 강원대병원 관계자는 “오늘 간담회를 통해 아직 파업 여부가 결정되지는 않는 걸로 확인했고 의료서비스를 차질없이 제공하기 위해 지속적으로 상황을 살필 예정”이라고 말했다. 김정호",http://v.daum.net/v/20240208000655728
7,  삼성전자 강원형 반도체 인력양성 협력 다짐  ,강원도민일보,김덕형,2024. 2. 8. 00:06," 속보=강원형 반도체 인력 양성과 관련, 강원특별자치도와 삼성전자 간 실질적인 협력이 구체화된다.2047년까지 622조원이 투입되는 정부의 수도권 반도체 메가 클러스터 조성 계획으로 반도체 인력 수요가 폭증할 것으로 전망되면서 강원도와 삼성전자 간 체결한 반도체 인력양성 협력사업이 더욱 속도를 낼 수 있게 됐다.김진태 도지사와 원강수 원주시장, 정광열 도경제부지사, 허장현 강원테크노파크 원장 등은 7일 오후 삼성전자 평택캠퍼스(본지 2월 7일자 2면)를 방문했다. 김 지사는 이날 반도체 생산 현장을 견학하고, 삼성전자 박승희 CR담당 사장·남석우 반도체부문 제조·기술 담당 사장 등과 환담했다.김 지사는 “반도체 산업을 육성하기 위해 반도체 교육센터를 비롯해 3대 테스트베드 등 반도체관련 4개 사업을 차질 없이 진행 중”이라며 “삼성 측 의견대로 반도체 수요 증가에 대비해 인력양성을 적극 추진중이고, 올해부터 반도체 교육센터가 운영에 들어간다”고 했다.이에 대해 박 사장은 “정부가 용인에 (반도체 산업을) 집중 투자할 계획을 갖고 있으나 그곳의 조성이 완료될 즈음에는 인력 수요가 폭발적으로 늘어날 것”이라며 “강원도와 삼성 측이 체결한 협약에 따른 인력양성 협력사업을 흔들림 없이 진행할 것”이라고 약속했다.도는 오는 7월 상지대에 개소 예정인 반도체 임시교육센터의 교육과정 운영, 취업 지원 등을 삼성전자와 협력해 나가기로 협의했다. 김덕형",http://v.daum.net/v/20240208000631707
8,  유기견 입양 후 상습학대·잔혹살해 20대 법정 최고형  ,강원도민일보,신재훈,2024. 2. 8. 00:06,"속보=유기견을 입양한 뒤 상습적으로 학대하고 잔인한 방법으로 숨지게 한 20대(본지 2023년 12월 7일 웹보도 등)가 항소심 선고 연기 끝에 결국 법정 최고형인 징역 3년을 선고받았다. 하지만 재판부는 적절한 치료와 관리가 이뤄지면 재범 위험성을 상당히 통제할 수 있다고 판단, 집행유예 판결을 내렸다.7일 서울고법 춘천재판부 형사1부(김형진 부장판사)는 동물보호법 위반 혐의로 기소된 A(25)씨에게 징역 1년에 집행유예 2년을 선고한 원심판결을 깨고 징역 3년에 집행유예 5년을 선고했다. 항소심 재판부는 검찰의 치료감호 청구는 기각하고, 원심과 마찬가지로 집행유예 기간 중 보호관찰과 정신질환 치료도 명령했다. 재판부는 “동물 학대 신고받고 경찰이 출동했음에도 학대를 멈추지 않았고, 반려견 임시보호자에게 ‘잘 키우겠다’고 안심시킨 뒤 다음 날 별다른 이유 없이 잔혹한 방법으로 죽음에 이르게 했다”며 “범행을 휴대전화로 촬영하기까지 한 행동을 보면 생명에 대한 존중이나 배려도 찾아볼 수 없다”고 덧붙였다.하지만 검찰이 청구한 치료감호 청구에 관해서는 정신질환으로 인한 약물치료 중단 시기에 범행이 발생한 것으로 보이는 점과 원심판결 이후 폐쇄병동에서 입원 치료를 받으며 어느 정도 증상이 완화됐다고 보이는 점을 들어 기각했다. 항소심 재판부는 “마지막 기회라는 점을 명심해서 정상적으로 사회로 복귀할 수 있도록 최선을 다하길 바란다”고 당부했다. 앞서 A씨는 2021년 1월부터 2022년 12월까지 2년간 춘천시 집에서 유기견 8마리를 상습 학대한 혐의로 재판에 넘겨졌다. 조사 결과 A씨는 태어난 지 얼마 되지 않은 유기견을 분양받아 학대했고, 8마리 중 1마리는 잔혹한 수법으로 살해했다. 신재훈",http://v.daum.net/v/20240208000629704
9,  22명 실종 ‘스텔라데이지호 사고’ 선사 대표 금고형  ,강원도민일보,신재훈,2024. 2. 8. 00:06,"속보=춘천 출신 2등 항해사를 포함해 22명의 실종자가 발생한 스텔라데이지호 사고(본지 2019년 2월 21일자 5면 등)와 관련해 선사 대표에게 금고형이 내려졌다.7일 부산지법 형사5부(부장판사 장기석)는 업무상 과실치사와 업무상 과실선박매몰 혐의로 기소된 스텔라데이지호 선사 대표 김모(70)씨 결심공판에서 김씨에게 금고 3년을 선고했다.함께 기소된 전 해사본부장 등 전현직 임직원 2명에게는 금고 2년과 금고 1년에 집행유예 2년을, 나머지 임직원 4명에게는 무죄를 선고했다. 다만 재판부는 도주 우려가 없다고 보고 김씨와 전 해사본부장을 법정구속하지는 않았다. 이 사고로 승무원 24명(한국 선원 8명, 필리핀 선원 16명) 중 필리핀 선원 2명만 구조되고 나머지 22명이 실종됐으며, 실종자 명단에는 춘천출신 이등항해사 허 모(당시 35세)씨도 포함됐다. 신재훈 ericjh@kado.net",http://v.daum.net/v/20240208000628702
