,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 러, 우크라 지원 관련 “우호관계 완전 붕괴시키는 무모한 조치 한국에 경고”  ",세계일보,김현주,2024. 1. 27. 00:04,김현주 기자 hjk@segye.com,http://v.daum.net/v/20240127000422668
1,"  [속보] 러 ""한국에 경고…우호관계 붕괴시키는 무모한 행동""  ",디지털타임스,박양수,2024. 1. 27. 00:00,"[속보] 러 ""한국에 경고…우호관계 붕괴시키는 무모한 행동""",http://v.daum.net/v/20240127000018582
2,"  [속보]러시아, “한국에 경고…우호관계 붕괴시키는 무모한 행동”  ",문화일보,박세영 기자,2024. 1. 26. 23:54,"러시아가 26일(현지시간) 우크라이나를 지원하려는 한국의 무모한 조치가 “러시아와의 우호 관계를 완전히 붕괴시킬수 있다”며 경고에 나섰다.타스 통신에 따르면 마리아 자카로바 외무부 대변인은 이날 브리핑에서 “우리는 러시아와의 우호 관계를 완전히 붕괴시키는 무모한 조치에 대해 한국 정부에 경고하고 싶다”며 “우리에 대한 비난은 근거도 없고 따라서 불법”이라고 강조했다.러시아는 한국이 군사 목적으로 사용될 수 있는 일부 품목의 러시아 수출을 제한하자 보복을 예고한 바 있다. 마리야 자하로바(사진) 러시아 외무부 대변인은 앞서 “한국은 미국의 요청에 따라 비우호적 조처를 했다”면서 “이는 한국의 경제와 산업에 피해를 줄 것”이라고 말했다. 자하로바 대변인은 “우리는 여기에 대응할 권리를 갖고 있다”며 “반드시 대칭적이지는 않은 상응 조처를 할 것이며, 한국은 여기에 놀라지 말아야 한다”고 경고했다.앞서 산업통상자원부는 지난달 26일 국제사회의 대러시아 수출통제 공조를 위해 군사 목적으로 전용할 수 있는 682개 품목을 상황 허가 대상에 추가한다고 밝혔다. 건설 중장비와 충전식 배터리, 항공기 부품과 일부 자동차 등이 포함됐다.박세영 기자",http://v.daum.net/v/20240126235406543
3,"  [속보] 러 ""한국에 경고…관계 붕괴시키는 무모한 행동""  ",노컷뉴스,CBS노컷뉴스 박창주 기자,2024. 1. 26. 23:51,"[속보] 러 ""한국에 경고…관계 붕괴시키는 무모한 행동""CBS노컷뉴스 박창주 기자 pcj@cbs.co.kr▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기 ",http://v.daum.net/v/20240126235100526
4,"  [속보] 러 ""한국에 경고···우호관계 붕괴시키는 무모한 행동""  ",서울경제,남윤정 기자,2024. 1. 26. 23:42,Nan,http://v.daum.net/v/20240126234232479
5,  [속보] 러 “한국에 경고…우호관계 붕괴시키는 무모한 행동”  ,국민일보,김승연,2024. 1. 26. 23:42,"러시아는 26일(현지시간) 우크라이나를 지원하려는 한국의 조치에 대해 “양국의 우호관계를 붕괴시키는 무모한 행동”이라고 경고했다.타스 통신에 따르면 마리야 자카로바 러시아 외무부 대변인은 이날 브리핑에서 “한국은 미국의 요청에 따라 비우호적 조처를 했다”면서 “이는 한국의 경제와 산업에 피해를 줄 것”이라고 했다.자카로바 대변인은 “우리는 여기에 대응할 권리를 갖고 있다”며 “반드시 대칭적이지는 않은 상응 조처를 할 것이며, 한국은 여기에 놀라지 말아야 한다”고 경고했다.앞서 산업통상자원부는 지난달 26일 국제사회의 대러시아 수출통제 공조를 위해 군사 목적으로 전용할 수 있는 682개 품목을 상황 허가 대상에 추가한다고 밝혔다. 건설 중장비와 충전식 배터리, 항공기 부품과 일부 자동차 등이 포함됐다.김승연 기자 kite@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지",http://v.daum.net/v/20240126234205476
6,"  [속보] 러 ""한국에 경고…우호관계 붕괴시키는 무모한 행동""  ",한국경제,안혜원,2024. 1. 26. 23:39,"러시아가 26일(현지시간) 우크라이나를 지원하려는 한국의 조치가 ""러시아와의 우호 관계를 완전히 붕괴시킬수 있다""며 경고에 나섰다.타스 통신에 따르면 마리아 자카로바 외무부 대변인은 이날 브리핑에서 ""우리는 러시아와의 우호 관계를 완전히 붕괴시키는 무모한 조치에 대해 한국 정부에 경고하고 싶다""며 ""우리에 대한 비난은 근거도 없고 따라서 불법""이라고 강조했다.앞서 러시아는 한국이 군사 목적으로 사용될 수 있는 일부 품목의 러시아 수출을 제한하자 보복을 예고한 바 있다. 자카로바 대변인은 ""한국은 미국의 요청에 따라 비우호적 조처를 했다""며 ""이는 한국의 경제와 산업에 피해를 줄 것""이라고 말했다. ""반드시 대칭적이지는 않은 상응 조처를 할 것이며, 한국은 여기에 놀라지 말아야 한다""며 목소리를 높이기도 했다.안혜원 한경닷컴 기자 anhw@hankyung.com",http://v.daum.net/v/20240126233902445
7,"  [속보] 러, 한국에 우크라 지원 경고 ""우호관계 완전붕괴될 수도""  ",중앙일보,한지혜,2024. 1. 26. 23:36," 러시아가 26일(현지시간) 우크라이나를 지원하는 한국의 조치가 ""러시아와의 우호 관계를 완전히 붕괴시킬 수 있다""며 경고에 나섰다. 타스 통신에 따르면 마리아 자하로바 외무부 대변인은 이날 브리핑에서 ""우리는 한때 우호적이었던 러시아와 관계를 붕괴시킬 수 있는 무모한 행동에 대해 한국 정부에 경고한다""고 했다. 무모한 행동이 무엇인지는 구체적으로 거론하지 않았으나 ""한국 국방부가 치명적인 무기를 포함한 우크라이나에 대한 직접 군사 지원의 필요성을 언급했다""고 주장했다. 러시아와 북한의 무기거래 의혹도 일축했다. 자하로바 대변인은 ""최근 서울(한국 정부)에서 러시아와 북한이 군사기술협력을 한다는 주장이 나오는 것을 봤다""며 ""우리는 우리를 겨냥한 주장들이 입증되지 않고 근거도 없기 때문에 불법적이라는 점을 강조하고 싶다""고 말했다. 이어 ""미국과 동맹국들이 러시아를 상대로 불법적으로 비난하려는 시도를 단호히 거부한다""고 밝혔다. 그러면서 ""한국의 가혹한 발언 배후에 미국이 있다는 것이 분명하다""며 ""이러한 가짜 정보의 목표는 아시아 동맹국인 한국을 우크라이나 분쟁에 끌어들이도록 하는 것""이라고 주장했다. 또 ""미국은 젤렌스키 범죄 정권(우크라이나)을 위한 무기 비축 공급원을 찾기 위해 이러한 수법을 교묘하게 이용하고 있다""고 덧붙였다. 앞서 러시아는 한국이 군사 목적으로 사용될 수 있는 일부 품목의 러시아 수출을 제한하자 보복을 예고하기도 했다. 자하로바 대변인은 ""한국은 미국의 요청에 따라 비우호적 조처를 했다""며 ""이는 한국의 경제와 산업에 피해를 줄 것""이라고 말했다. ""반드시 대칭적이지는 않은 상응 조처를 할 것이며, 한국은 여기에 놀라지 말아야 한다""며 목소리를 높이기도 했다. 한지혜 기자 han.jeehye@joongang.co.kr",http://v.daum.net/v/20240126233627435
8,  [속보] 러 “한국에 경고…우호관계 붕괴시키는 무모한 행동”  ,매일경제,최기성 매경닷컴 기자(gistar@mk.co.kr),2024. 1. 26. 23:36,Nan,http://v.daum.net/v/20240126233600430
9,"  [속보] 러 ""한국에 경고…우호관계 붕괴시키는 무모한 행동""  ",MBN,입력 2024. 1. 26. 23:32,2024. 1. 26. 23:32,"러 ""한국에 경고…우호관계 붕괴시키는 무모한 행동""< Copyright ⓒ MBN(www.mbn.co.kr)무단전재 및 재배포 금지 >",http://v.daum.net/v/20240126233238391
