,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [ET라씨로] 한빛소프트, 신작 접속 문제에 주가 17%↓  ",전자신문,서희원,2024. 2. 23. 14:50,"ET라씨로는 인공지능(AI) 기반으로 선별·분석한 주식 정보와 종목 매매 신호를 제공하는 전자신문 증권 정보 애플리케이션입니다. 플레이스토어에서 'ET라씨로'(-〉바로가기)를 다운로드하면 IT기업 뉴스와 시장 현황, AI 매매 타이밍을 받아볼 수 있습니다.한빛소프트 신작이 기대에 못미치는 평가를 받으면서 주가가 약세를 보이고 있다.23일 오후 2시 48분 기준 한빛소프트(047080)는 전 거래일 대비 17.08% 하락한 2695원에 거래되고 있다.한빛소프트는 전날 인기 온라인 게임 '그라나도 에스파다' IP를 활용한 MMORPG '그라나도 에스파다M'을 출시했다.국내에 인지도가 높은 그라나도 에스파다의 모바일 게임 출시 소식에 한빛소프트 실적을 견인할 새로운 캐시카우가 될 지 투자자들의 관심이 쏠렸다.하지만 출시 당일, 정식 서비스 시작 1시간만에 임시 점검을 하더니 서버 접속 문제가 제대로 해결되지 않는 운영에 아쉬운 모습을 보였다. 이에 게임 온라인 커뮤니티에는 불편을 호소하는 글이 이어졌지만 빠르게 개선되지 않아 불만이 가중됐다.문제가 신속히 해결되지 않자 운영에 대한 우려가 커지면서 주가가 떨어졌다. 23일 장 초반 주가는 2455원까지 떨어졌지만 소폭 상승해 16% 대 하락을 이어가고 있다.#한빛소프트 #AI 매매신호 #실시간 매매타이밍 #알림 신청이 기사는 전자신문과 금융 AI 전문기업 씽크풀이 공동으로 작성한 것입니다. AI를 기반으로 생성된 데이터에 기자의 취재 내용을 추가한 'AI 휴머노이드 기사'입니다.※ ET라씨로에서 실시간 속보 확인하기서희원 기자 shw@etnews.com",http://v.daum.net/v/20240223145004940
1,  [속보] ‘계약 끝나는’ 의사도 떠난다…“이달 말 지나면 진짜 대란”  ,매일경제,이하린 매경닷컴 기자(may@mk.co.kr),2024. 2. 23. 14:36,Nan,http://v.daum.net/v/20240223143607474
2,"  ""KBS에 집중된 재난방송 지원, 특별법 제정해 지역까지 확대해야""  ",기자협회보,김고은 기자,2024. 2. 23. 13:56,"“코로나19 때 자동자막송출시스템으로 우리한테 날아온 재난정보가 연간 2000건이었다. 그중 3건이 문제 돼서 과태료 1500만원씩 4500만원을 부과받았다.(실제론 50% 감액) 지역(울산)과는 아무 관련 없는 것이었다. (…) 사람이 하는 일이고 심지어 기계도 오차범위라는 게 있는데 100% 토씨 하나도 틀리지 말고 송출하라는 건 억지에 가깝다고 본다.” -송창섭 ubc울산방송 경영정책국장 기후위기로 인한 불확실성이 커지면서 자연재해 발생률이 높아지고, 이로 인해 우리 일상이 위협받는 일도 잦아졌다. 한쪽에서 폭우로 신음하는 동안 다른 지역에선 가뭄에 시달리고, 산불이나 국지성 호우로 특정 지역에 피해가 집중되는 등 재난 형태가 점차 국지화되는 것도 최근의 경향 중 하나다. 재난 상황에서 지역 언론 특히 지역방송의 역할이 더 중요해진 이유다. 그러나 고질적인 인력난과 경영난에 시달리는 지역방송이 잦은 재난 상황에서 제 역할을 해내기란 쉽지 않은 일이다. 지역방송들은 정부가 지원 없이 의무만 지게 한 채, 조금의 실수나 잘못이 있어도 과태료를 부과하는 건 지나치다고 하소연한다. 재난방송 주관방송사인 KBS로 지원 시스템이 집중돼 지역MBC와 민영방송 등은 꼭 필요한 지원조차 받기 어려운 점도 문제로 지적된다. 이에 재난방송 관련 제도를 규제 중심에서 지원(진흥) 중심으로 바꾸고, 이를 뒷받침할 특별법을 서둘러 제정해야 한다는 목소리가 나온다.한국지역언론학회와 지역방송협의회 주관으로 22일 국회에서 열린 ‘국지화되는 자연재해 지역방송의 역할은?’ 토론회에서 참석자들은 ‘재난방송 실시 및 지원에 관한 특별법(가칭)’ 제정의 필요성에 공감했다. 재난 주관방송사를 KBS로 한정할 게 아니라 지역별 거점 주관방송사를 지정해 지원 규모를 확대할 필요가 있다는 의견도 있었다. 그러나 이 같은 제도 개선을 검토하고 실행해야 할 방송통신위원회 관계자는 정작 토론회에 참석하지 않아 아쉬움을 남겼다.인력·재정 다 다른데 획일적 재난방송 기준…“과태료 차등화해야”이날 발제를 맡은 송종현 선문대 미디어커뮤니케이션학과 교수는 “방통위가 지난 2021년 ‘재난방송 강화 종합계획’을 발표했는데, 어느 정도 실현됐는지 의문”이라고 전제한 뒤 “모든 제도와 정책이 실현돼서 실질적인 시스템으로 구축되고 자원이 재분배되기 위해선 법이 만들어져야 한다”면서 재난방송 지원 특별법이 조속히 제정돼야 한다고 강조했다. 송 교수는 지역MBC와 지역민방을 대상으로 재난방송 관련 의견을 수렴한 결과를 토대로 재난방송 관련 제도의 현실적인 개선을 촉구했다. 그에 따르면 지역방송은 재난이 발생해도 인력과 장비가 부족해 현장 취재나 중계를 하기 힘든 경우가 많았다. 이동 생중계 장비인 LTE가 1대뿐이거나 낡아서 휴대성이 떨어지고, 수백만원에 달하는 회선 사용료가 부담이라는 곳도 있었다. 이날 토론자로 참석한 이교선 전국언론노동조합 대전MBC지부장도 지난해 오송 참사 당시 MBC충북 상황을 이렇게 전했다. “오송 참사 발생이 토요일 아침 취약 시간이었는데, 한 대뿐인 LTE 중계 장비는 새벽에 발생한 괴산댐 월류 상황에 취재 인력과 함께 파견돼 있었다. 즉 재난방송에 투입을 하고 싶어도 장비, 인력이 빈약해 현장 투입 시점은 지체됐고, 현장 데스크 운영, 공동취재단 구성 등도 요원했다. 타 지역사도 별반 다르지 않겠지만 경영적으로 어려운 지역사 사정이 재난방송 대비의 불평등까지 초래하고 있는 건 아닌지 우려스럽다.” 이처럼 방송사의 재원이나 인력 규모에 따라 재난방송 대비 역량엔 차이가 날 수밖에 없는데, 현행법과 제도는 이런 사정을 고려하지 않고 획일적인 의무와 벌칙을 부과하고 있다. 지역방송 권역 외에서 발생한 재난에 대해서도 같은 기준을 적용하며, 과태료도 방송사 규모와 관계없이 동일하다. 송종현 교수는 과태료 부과를 차등화할 필요가 있다며 “방송사업의 형태, 매출 규모, 종사자 수, 재난방송의 제작능력 등을 고려해 (과태료를) 경감해 부과할 수 있도록 하고, 기준을 고시로 공표할 것”을 제안했다. 행정안전부, 방통위와 지자체 등이 송출을 요청하는 재난 자막방송이 지나치게 많다는 점도 문제다. 연간 수백, 수천 건에 달하는 자막 송출을 처리하다 보면 오류가 생길 수 있기 때문이다. ‘재난방송 및 민방위경보방송의 실시에 관한 기준’은 “요청받은 즉시”, “그대로 빠짐없이 방송”하도록 정해 사소한 정보 하나라도 빠지면 과태료 처분 대상이 된다. 송 교수는 “현실과 맞지 않다”면서 “중요 핵심정보 위주로 수정할 필요가 있다”고 했다.또한, 코로나19 이후 재난 발생 사항보다 예방 관련 내용이 많아졌는데, 송 교수는 “잦은 자막 송출에 시청자의 피로감이 커지고 무감한 반응을 보이고 있다”며 “스크롤 요청은 재난 상황으로 한정하고, 예방 관련 내용은 정부나 지자체가 비용 부담을 해서 캠페인으로 송출하는 것이 효과적일 수 있다”고 말했다.“재난 요소 지역별로 달라…지역 거점 주관방송사 필요”지역별 거점 주관방송사 지정의 중요성도 강조했다. 송 교수는 “KBS가 전국적인 재난 주관방송사 역할을 수행한다면, 지역별 거점 주관사를 선정해서 효율적으로 재난방송을 운영할 필요가 있다”고 말했다. 윤희각 부산외대 교수도 여기 동의했다. 윤 교수는 “자연재해에서만큼은 주관사 개념을 지역으로 확대할 필요가 있다. 지역별로 존재하는 위험한 재난의 요소가 다르기 때문”이라며 “알다시피 주관방송사라는 타이틀을 가지고 (재난) 영상을 확보하는 것과 비주관 방송사인 지역방송 기자로서 영상을 확보하는 건 하늘과 땅 차이다. 속히 지역 거점 주관방송사 개념을 확립할 수 있어야 한다”고 밝혔다. 문제는 지원을 위한 재원의 확보다. LTE 장비 1대를 보급한다고 해도 운영비를 포함하면 몇천만원이 필요하다. 방통위는 지난달 발표한 ‘제4차 지역방송발전지원계획’에서 “재난방송 송출을 위한 재정 지원”을 추진한다고 밝혔다. 그러나 특별법 등 관련 법률 근거가 없는 상황에서 지원한다고 해도 극히 일부가 될 가능성이 크다. 윤희근 교수는 “중앙에 지역신문발전위원회 기금이 있고, 다수의 광역자치단체에도 별도의 지역신문발전기금이 존재한다”며 “재난이 터지면 광역자치단체에서 재난본부가 가동되고, 방송사도 준 재난본부 역할을 하게 된다. 광역단체별로 지역방송 재난보도 발전기금을 조성하는 게 어떨까”라고 제안했다. 김동원 전국언론노조 정책홍보실장은 중앙정부의 책임감 있는 지원을 강조했다. 그는 지난 10년간 전국 자연재해의 80%가 군 단위 등의 중소도시에 집중됐고, 이것이 서울 등 대도시의 ‘기후 부채’(climate debt)로 인한 “재난의 불평등”을 보여준다고 설명하며 “지역방송의 재난방송 관련 지원이 지자체가 아니라 중앙정부에서 먼저 이뤄져야 한다”고 밝혔다.“태풍이 수도권 지날 때 아니면 드라마 끊고 재난방송 못 한다”지역방송인들은 ‘제작과 편성의 자율권’을 비중 있게 언급했다. 송창섭 울산방송 경영정책국장은 “지역방송은 편성에서 자유롭지 않다. 핵심 시간대 광고를 팔아야 하고 SBS 인기 프로그램을 받아야 한다. 그런데 재난방송 해서 속보를 낸다고 프로그램을 끊는다? 끊기도 쉽지 않지만, 광고비와 전파료 손실을 생각하지 않을 수 없다”고 말했다. 이어 그는 “지역에 국한된 태풍속보 등은 지역방송이 오롯이 떠안을 수밖에 없는데 편성이 여의치 않아 유튜브를 활용하고 있다”면서 “재난방송 실적 등을 평가할 때 유튜브 등 새로운 매체를 활용한 부분도 감안할 필요가 있다”고 밝혔다. 민성빈 언론노조 부산MBC지부장도 “태풍이 수도권을 지나면 난리가 나는데, 남부 지방만 지나면 드라마를 못 끊는다”며 “편성의 자율권이 중요하다”고 강조했다. 그는 또 “인력이 부족하다 보니 예측 못 한 재난이 발생하면 다급하게 가서 위험을 인지하지 못하고 뛰어드는 구조가 반복된다”며 “정책적인 고민과 공유가 필요하다”고 전했다.",http://v.daum.net/v/20240223135636266
3,"  제니, ‘토마토’ 김희선 스타일 완벽 재현…이정하 “그때 태어났다” (아파트404)  ",MBC연예,김혜영,2024. 2. 23. 13:49,"‘아파트404’ 6명의 입주민이 1998년으로 시간여행을 떠난다. 오늘(23일) 첫 방송될 tvN ‘아파트404’(연출 정철민, 신소영)는 유재석, 차태현, 오나라, 양세찬, 제니, 이정하 총 6명의 입주민이 우리에게 친숙한 공간이자 생활 터전인 아파트를 배경으로 기상천외한 일들의 실체를 추적하는 시공간 초월 실화 추리극. 1회에서는 유재석, 차태현, 오나라, 양세찬, 제니, 이정하의 첫 번째 사건 추리가 시작된다. 1998년 우상 아파트로 소환된 입주민들은 끝없는 추리, 거듭되는 반전, 서로를 향한 의심과 견제를 이어간다고 해 숨겨진 비밀을 밝혀낼 주인공은 누구일지 호기심을 자극하고 있다. 또한, 공개된 선공개 영상에는 레트로 감성이 물씬 느껴지는 ‘아파트404’의 분위기와 아파트로 이동하는 입주민들의 모습이 담겨 눈길을 끈다. 유재석, 양세찬, 제니가 뭉친 ‘유가네’, 차태현, 오나라, 이정하가 뭉친 ‘차가네’는 당시 국민차로 손꼽혔던 옛날 자동차를 타고 사건 현장을 향해 달려간다. 특히 제니가 드라마 ‘토마토’의 김희선으로 변신해 이목을 집중시킨다. 이에 양세찬과 유재석은 “제니는 제니야”라며 남다른 소화력을 칭찬한다. 그런가 하면 유재석은 ‘남편과 베짱이’ 코너로 얼굴을 알렸던 자신의 모습을 재현, IMF 시대의 아픔이 있는 1998년으로 상황이 설정된 이유를 궁금해해 관심이 더해지고 있다. 수동 변속 기어인 옛날 자동차 때문에 애를 먹은 듯한 ‘차가네’의 반응은 깨알 웃음을 자아낸다. 피하고 싶은 언덕에서 정차하는 긴장감 넘치는 상황도 발생, 굉음과 함께 벗어나 재미를 배가시킨다. 더불어 1997년에 데뷔한 오나라와 1995년에 데뷔한 차태현은 라디오에서 나오는 한스밴드 ‘오락실’을 들으며 기억을 되짚어 보는 반면, 이정하는 “저는 그때 태어났습니다”라고 해 이들의 조합이 흥미를 유발한다. 그러던 중 “서울에 한 아파트 공사 현장에서”라는 뉴스 속보에 입주민들의 촉각이 곤두서 본격적인 에피소드가 펼쳐질 첫 방송이 더욱 기다려진다. 오늘(23일) 저녁 8시 40분 방송. iMBC 김혜영 | tvN 화면캡처",http://v.daum.net/v/20240223134925034
4,"  '96년생' 제니, 나이에 예민? ""만으로 27살, 완전 선배돼…아이돌 후배 7살씩 어려"" [아파트404]  ",마이데일리,박서연 기자,2024. 2. 23. 12:03,"[마이데일리 = 박서연 기자] ‘아파트404’가 1998년으로 시간여행을 떠난다.23일 오후 8시 40분에 첫 방송되는 tvN ‘아파트404’는 유재석, 차태현, 오나라, 양세찬, 제니, 이정하 총 6명의 입주민이 우리에게 친숙한 공간이자 생활 터전인 아파트를 배경으로 기상천외한 일들의 실체를 추적하는 시공간 초월 실화 추리극.1회에서는 유재석, 차태현, 오나라, 양세찬, 제니, 이정하의 첫 번째 사건 추리가 시작된다. 1998년 우상 아파트로 소환된 입주민들은 끝없는 추리, 거듭되는 반전, 서로를 향한 의심과 견제를 이어간다고 해 숨겨진 비밀을 밝혀낼 주인공은 누구일지 호기심을 자극하고 있다.이날 공개된 선공개 영상에는 레트로 감성이 물씬 느껴지는 ‘아파트404’의 분위기와 아파트로 이동하는 입주민들의 모습이 담겨 눈길을 끈다. 유재석, 양세찬, 제니가 뭉친 ‘유가네’, 차태현, 오나라, 이정하가 뭉친 ‘차가네’는 당시 국민차로 손꼽혔던 옛날 자동차를 타고 사건 현장을 향해 달려간다.1998년으로 간 1996년생인 제니는 ""스물아홉?""이냐고 묻는 유재석에게 ""(스물)일곱이다. 생일 지나서 만 나이로 하면 일곱""이라고 답했다. 이에 유재석은 ""제니도 나이에 예민해진 거 보니까""라며 웃었다. 제니는 ""저 진짜 어떻게 해야 될지. 일하고 해외에서 일하고 돌아오니까 저는 이제 아이돌 친구들한테 완전 선배가 되어 있더라. 적응이 안 된다. 다 저보다 7살씩 어리다""라며 털어놨다.한편 제니는 드라마 ‘토마토’의 김희선으로 변신해 이목을 집중시켰다. 이에 양세찬과 유재석은 “제니는 제니야”라며 남다른 소화력을 칭찬했다. 그런가 하면 유재석은 ‘남편과 베짱이’ 코너로 얼굴을 알렸던 자신의 모습을 재현, IMF 시대의 아픔이 있는 1998년으로 상황이 설정된 이유를 궁금해해 관심이 더해지고 있다.수동 변속 기어인 옛날 자동차 때문에 애를 먹은 듯한 ‘차가네’의 반응은 깨알 웃음을 자아냈다. 피하고 싶은 언덕에서 정차하는 긴장감 넘치는 상황도 발생, 굉음과 함께 벗어나 재미를 배가시켰다.더불어 1997년에 데뷔한 오나라와 1995년에 데뷔한 차태현은 라디오에서 나오는 한스밴드 ‘오락실’을 들으며 기억을 되짚어 보는 반면, 이정하는 “저는 그때 태어났습니다”라고 해 이들의 조합이 흥미를 유발했다. 그러던 중 “서울에 한 아파트 공사 현장에서”라는 뉴스 속보에 입주민들의 촉각이 곤두서 본격적인 에피소드가 펼쳐질 첫 방송이 더욱 기다려진다.[사진 = tvN '아파트404' 선공개 영상 캡처]",http://v.daum.net/v/20240223120308800
5,  [속보] 국민의힘 위성정당 대표에 당직자 조혜정씨 선출  ,한국일보,이성택,2024. 2. 23. 11:49,"국민의힘 비례대표 위성정당인 '국민의미래' 당 대표로 조혜정 국민의힘 정책국장이 선출됐다.국민의미래는 23일 여의도 중앙당사에서 중앙당 창당대회를 열고 이 같이 결정했다. 당 사무총장에는 정우창 국민의힘 정책국 부국장이 선출됐다. 당초 대표로 거론됐던 조철희 국민의힘 총무국장은 일신상의 이유로 거절한 것으로 알려졌다. 이들은 모두 당 실무자로, 위성정당이 비례대표 후보 공천 등에서 국민의힘과 엇박자를 내지 않도록 하기 위해 투입된 것이다. 국민의미래는 국민의힘이 4·10 총선에서 적용되는 준연동형 비례대표제 대비해 만든 위성정당이다. 준연동형 비례제에서는 거대 양당이 위성정당을 만들어야 의석 수에서 이익을 본다.이성택 기자 highnoon@hankookilbo.com손영하 기자 frozen@hankookilbo.com",http://v.daum.net/v/20240223114951251
6,"  [속보]""병원급 의료기관 등 비대면 진료 전면 허용""  ",파이낸셜뉴스,이보미,2024. 2. 23. 11:45,"대상 의료기관은 병원급 의료기관을 포함한 모든 종별 의료기관이다. 의사가 안전하다고 판단한 경우 초·재진 모두 비대면진료를 실시할 수 있다. 이번 대책 시행으로 일부 의료기관에 비대면진료 수요가 급증할 가능성을 고려해 한시적으로 비대면진료·조제 실시비율 30% 제한, 동일 의료기관에서 환자당 월 2회 초과 금지 규정은 적용되지 않는다. 다만, 의약품 재택수령 범위는 섬·벽지 거주자, 거동불편자(65세 이상 장기요양등급자, 장애인), 감염병 확진 환자, 희귀질환자 등 현행 시범사업 기준이 유지된다.spring@fnnews.com 이보미 기자",http://v.daum.net/v/20240223114534117
7,"  블랙핑크 제니, 99년 ‘토마토’ 변신했더니…98년 시간여행 (아파트404)[DA:투데이]  ",스포츠동아,홍세영 동아닷컴 기자,2024. 2. 23. 11:43,"23일 첫 방송되는 ‘아파트404’는 유재석, 차태현, 오나라, 양세찬, 블랙핑크 제니, 이정하 총 6명의 입주민이 우리에게 친숙한 공간이자 생활 터전인 아파트를 배경으로 기상천외한 일들의 실체를 추적하는 시공간 초월 실화 추리극이다.제작진에 따르면 이날 1회에서는 유재석, 차태현, 오나라, 양세찬, 제니, 이정하의 첫 번째 사건 추리가 시작된다. 1998년 우상 아파트로 소환된 입주민들은 끝없는 추리, 거듭되는 반전, 서로를 향한 의심과 견제를 이어간다고 해 숨겨진 비밀을 밝혀낼 주인공은 누구일까.또한, 공개된 영상에는 레트로 감성이 물씬 느껴지는 ‘아파트404’ 분위기와 아파트로 이동하는 입주민들 모습이 담긴다. 유재석, 양세찬, 제니가 뭉친 ‘유가네’, 차태현, 오나라, 이정하가 뭉친 ‘차가네’는 당시 국민차로 손꼽혔던 옛날 자동차를 타고 사건 현장을 향해 달려간다.특히 제니가 1999년 SBS 드라마 ‘토마토’ 김희선으로 변신한다. 이에 양세찬과 유재석은 “제니는 제니야”라며 남다른 소화력을 칭찬한다. 그런가 하면 유재석은 ‘남편과 베짱이’ 코너로 얼굴을 알렸던 자신의 모습을 재현, IMF 시대의 아픔이 있는 1998년으로 상황이 설정된 이유를 궁금해한다.또 1997년에 데뷔한 오나라와 1995년에 데뷔한 차태현은 라디오에서 나오는 한스밴드 ‘오락실’을 들으며 기억을 되짚어 보는 반면, 이정하는 “저는 그때 태어났습니다”라고 해 이들의 조합이 흥미를 유발한다. 그러던 중 “서울에 한 아파트 공사 현장에서”라는 뉴스 속보에 입주민들의 촉각이 곤두서 본격적인 에피소드가 펼쳐질까.‘아파트404’는 23일 저녁 8시 40분 첫 방송된다.홍세영 동아닷컴 기자 projecthong@donga.com",http://v.daum.net/v/20240223114309042
8,"  [속보]""업무 미복귀 개별 전공의 고발 접수 즉시 출석요구, 불응 땐 체포영장 발부""  ",파이낸셜뉴스,이보미,2024. 2. 23. 11:42,spring@fnnews.com 이보미 기자,http://v.daum.net/v/20240223114252033
9,"  제니, '토마토' 김희선 변신...유재석·양세찬 ""제니는 제니야"" 감탄('아파트404')  ",스포티비뉴스,정혜원 기자,2024. 2. 23. 11:36,"[스포티비뉴스=정혜원 기자] '아파트404' 유재석이 블랙핑크 제니의 변신에 감탄한다. 23일 첫 방송되는 tvN 예능 프로그램 '아파트404'에서는 유재석, 차태현, 오나라, 양세찬, 제니, 이정하의 첫 번째 사건 추리가 시작된다. 아파트404'는 유재석, 차태현, 오나라, 양세찬, 제니, 이정하 총 6명의 입주민이 우리에게 친숙한 공간이자 생활 터전인 아파트를 배경으로 기상천외한 일들의 실체를 추적하는 시공간 초월 실화 추리극이다. 첫 방송에서는 1998년 우상 아파트로 소환된 입주민들은 끝없는 추리, 거듭되는 반전, 서로를 향한 의심과 견제를 이어간다고 해 숨겨진 비밀을 밝혀낼 주인공은 누구일지 호기심을 자극하고 있다. 공개된 선공개 영상에는 레트로 감성이 물씬 느껴지는 '아파트404'의 분위기와 아파트로 이동하는 입주민들의 모습이 담겨 눈길을 끈다. 유재석, 양세찬, 제니가 뭉친 '유가네', 차태현, 오나라, 이정하가 뭉친 '차가네'는 당시 국민차로 손꼽혔던 옛날 자동차를 타고 사건 현장을 향해 달려간다. 특히 제니가 드라마 '토마토' 김희선으로 변신해 이목을 집중시킨다. 이에 양세찬과 유재석은 ""제니는 제니야""라고 남다른 소화력을 칭찬한다. 그런가 하면 유재석은 '남편과 베짱이' 코너로 얼굴을 알렸던 자신의 모습을 재현, IMF 시대의 아픔이 있는 1998년으로 상황이 설정된 이유를 궁금해해 관심이 더해지고 있다. 수동 변속 기어인 옛날 자동차 때문에 애를 먹은 듯한 '차가네'의 반응도 깨알 웃음을 자아낸다. 피하고 싶은 언덕에서 정차하는 긴장감 넘치는 상황도 발생, 굉음과 함께 벗어나 재미를 배가시킨다. 더불어 1997년에 데뷔한 오나라와 1995년에 데뷔한 차태현은 라디오에서 나오는 한스밴드 '오락실'을 들으며 기억을 되짚어 보는 반면 이정하는 ""저는 그때 태어났습니다""라고 해 이들의 조합이 흥미를 유발한다. 그러던 중 ""서울에 한 아파트 공사 현장에서""라는 뉴스 속보에 입주민들의 촉각이 곤두서 본격적인 에피소드가 펼쳐질 첫 방송에 기대가 모인다. '아파트404'는 이날 오후 8시 40분 tvN에서 첫 방송된다.<저작권자 ⓒ SPOTV NEWS. 무단전재 및 재배포 금지>",http://v.daum.net/v/20240223113620849
