,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,  [속보]크렘린궁 “푸틴 방북 조만간 이뤄지길 희망”  ,동아일보,입력 2024. 1. 15. 19:06,2024. 1. 15. 19:06,Nan,http://v.daum.net/v/20240115190622937
1,  [속보] 크렘린궁 “푸틴 조만간 방북 가능성... 북한과 전방위 관계 발전 원해”  ,조선비즈,이용성 기자,2024. 1. 15. 19:05,"러시아 크렘린궁이 블라디미르 푸틴 대통령의 북한 방문이 조만간 이뤄질 수 있다고 밝혔다고 러시아 관영 타스통신이 15일 보도했다.타스 통신에 따르면, 드미트리 페스코프 크렘린궁 대변인은 이날 “푸틴의 방북은 가까운 시일 내 이뤄질 수 있고 날짜는 외교 경로를 통해 합의될 것”이라고 했다. 그는 푸틴이 이날 모스크바를 방문한 최선희 북한 외무상과 회담할 가능성에 대해선 “배제할 수 없다”고 했다.페스코프는 이어 “북한은 우리의 가장 가까운 이웃으로 모든 분야에서 관계를 발전시키려 한다”며 “북한과 모든 차원의 대화를 지속할 것”이라고 덧붙였다.이 같은 발언은 최선희 북한 외무상의 공식 러시아 방문에 맞춰 나왔다. 최 외무상이 이끄는 북한 대표단은 이날부터 17일까지 러시아를 공식 방문한다. 최 외무상은 세르게이 라브로프 러시아 외무장관의 초청으로 모스크바를 찾았지만 블라디미르 푸틴 대통령과 만날 가능성도 있다. 최 외무상과 라브로프 장관의 회담은 16일로 예정됐다.페스코프 대변인도 푸틴 대통령과 최 외무상의 만남을 배제하지 않는다고 말했다. 페스코프 대변인은 러시아와 북한 대표단이 지난해 9월 러시아 극동 보스토치니 우주기지에서 열린 북러 정상회담의 협의 내용을 논의할 것이라면서 “유익하고 강도 높은 협상을 기대한다”고 말했다.당시 정상회담에서 푸틴 대통령이 김정은 북한 국무위원장의 방북 초청을 수락한 것과 관련해선 “푸틴 대통령의 북한 방북이 조만간 이뤄지기를 희망하며 구체적인 일정은 외교 채널을 통해 합의될 것”이라고 설명했다.- Copyright ⓒ 조선비즈 & Chosun.com -",http://v.daum.net/v/20240115190510912
2,"  [속보] 크렘린궁 “푸틴, 방북 성사 희망… 北과 전방위 관계 발전시킬 것“  ",강원도민일보,윤종진,2024. 1. 15. 18:59,Nan,http://v.daum.net/v/20240115185934755
3,  [속보] 크렘린궁 “북한과 전방위 관계 발전시킬 것”  ,세계일보,김수연,2024. 1. 15. 18:52,김수연 기자 sooya@segye.com,http://v.daum.net/v/20240115185203646
4,"  [속보]크렘린궁 “北은 우리 파트너…푸틴, 조만간 방북 희망”  ",문화일보,임정환 기자,2024. 1. 15. 18:51,최선희 북한 외무상이 모스크바를 방문한 가운데 블라디미르 푸틴 러시아 대통령이 가까운 시일 내에 북한을 공식 방문하기를 희망한다는 크렘린궁의 입장이 나왔다.드미트리 페스코프 크렘린궁 대변인이 15일 최 외무상의 모스크바 방문을 맞아 “(북한은) 우리의 파트너”라며 “모든 분야에서 관계를 발전시키고 있다”고 밝혔다.또 페스코프 대변인은 또 “블라디미르 푸틴 대통령이 북한에 초대받았으며 구체적 시기는 아직 정해지지 않았지만 가까운 미래에 러시아 대통령이 방문할 것을 희망한다”고 전했다.크렘린궁 측은 구체적인 방문 시기와 관련해서는 외교 채널을 통해 추가로 논의할 예정인 것으로 전해졌다. 인테르팍스는 최 외무상의 이번 러시아 방문이 푸틴 대통령의 방북을 준비하는 단계로 보인다고 분석했다.한편 최 외무상은 이번 모스크바 방문을 통해 지난해 푸틴 대통령과 김정은 북한 국무위원장이 만나 합의한 내용에 대해 논의할 예정으로 알려졌다.임정환 기자,http://v.daum.net/v/20240115185105638
5,"  [속보] 크렘린궁 ""푸틴 조만간 방북…北과 전방위 관계 발전""  ",중앙일보,조문규,2024. 1. 15. 18:41," 러시아 크렘린궁(대통령실)은 15일(현지시간) 블라디미르 푸틴 대통령의 북한 방문이 조만간 이뤄질 수 있다고 밝혔다. 타스통신에 따르면, 드미트리 페스코프 크렘린궁 대변인은 이날 “푸틴 대통령의 답방이 가까운 시일 안에 이뤄지길 바란다”면서 “방문 시기는 추가로 논의될 것이다”고 말했다. 또 러시아를 방문 중인 최선희 북한 외무상이 푸틴 대통령을 만날 가능성을 배제하지 않는다고도 했다. 페스코프 대변인은 이날 “(김정은 북한 국무위원장과) 푸틴 대통령 사이에 이뤄진 합의 내용을 토대로 북한과 모든 차원에서 대화가 이어질 것”이라며 “훌륭하고 강렬하며 의미 있고 유익한 협상을 기대한다”고 말했다. 이어 “북한은 파트너""라며 ""전방위서 관계를 발전시키고 있다”고 했다. 한편 최 외무상은 15~17일 세르게이 라브로프 러시아 외무장관의 초청으로 러시아를 방문한다. 김정은과 푸틴 대통령의 지난해 9월 정상회담 이후 양국 협력이 확대되는 가운데, 최 외무상은 방러 기간 라브로프 장관과 회담을 할 것으로 보인다. 앞서 라브로프 장관은 지난해 10월 방북 당시 최 외무상에게 편한 시기에 모스크바를 방문해 달라고 초청한 바 있다. 외교가에선 최 외무상이 푸틴 대통령을 면담하고 무기 거래를 비롯한 양국 핵심 현안을 논의할 수 있다는 관측도 있다. 조문규 기자 chomg@joongang.co.kr",http://v.daum.net/v/20240115184149499
6,"  [속보] 러시아 ""北은 우리 파트너…푸틴, 조만간 방북 희망""  ",아이뉴스24,김다운,2024. 1. 15. 18:40,"[아이뉴스24 김다운 기자] 드미트리 페스코프 크렘린궁 대변인이 15일 최선희 북한 외무상의 모스크바 방문을 맞아 ""(북한은) 우리의 파트너""라며 ""모든 분야에서 관계를 발전시키고 있다""고 밝혔다.또한 블라디미르 푸틴 대통령이 북한에 초대받았으며, 구체적 시기는 아직 정해지지 않았지만 가까운 미래에 러시아 대통령이 방문할 것을 희망한다고 전했다.최 외무상은 이번 모스크바 방문을 통해 지난해 푸틴 대통령과 김정은 북한 국무위원장이 만나 합의한 내용에 대해 논의할 예정으로 알려졌다.",http://v.daum.net/v/20240115184007464
7,"  [속보] 러 ""北과 전방위 관계 발전…조만간 푸틴 방북 희망""  ",디지털타임스,김광태,2024. 1. 15. 18:35,"최선희 북한 외무상이 러시아를 공식 방문 중인 가운데 러시아 크렘린궁은 북한과 전방위적으로 협력 관계를 발전시키겠다고 밝혔다.드미트리 페스코프 크렘린궁 대변인은 15일(현지시간) 브리핑에서 ""북한은 우리의 이웃, 가장 가까운 이웃이며 모든 분야에서 더욱 파트너십을 발전시키고자 하는 파트너""라고 밝혔다. 이어 ""북한과의 대화는 모든 수준에서 계속될 것""이라고 덧붙였다.최 외무상이 이끄는 북한 대표단은 이날부터 17일까지 러시아를 공식 방문한다. 최 외무상은 세르게이 라브로프 러시아 외무장관의 초청으로 모스크바를 찾았지만 블라디미르 푸틴 대통령과 만날 가능성도 있다.페스코프 대변인은 푸틴 대통령과 최 외무상의 만남을 배제하지 않는다고 말했다. 최 외무상과 라브로프 장관의 회담은 16일로 예정됐다. 페스코프 대변인은 러시아와 북한 대표단이 지난해 9월 러시아 극동 보스토치니 우주기지에서 열린 북러 정상회담의 협의 내용을 논의할 것이라면서 ""유익하고 강도 높은 협상을 기대한다""고 말했다.당시 정상회담에서 푸틴 대통령이 김정은 북한 국무위원장의 방북 초청을 수락한 것과 관련해선 ""푸틴 대통령의 북한 방북이 조만간 이뤄지기를 희망하며 구체적인 일정은 외교 채널을 통해 합의될 것""이라고 설명했다.김광태기자 ktkim@dt.co.kr",http://v.daum.net/v/20240115183522372
8,"  [속보] 크렘린궁, 러 방문 중인 北최선희와 푸틴 만남 배제 안해""  ",대전일보,최고나 기자,2024. 1. 15. 18:33," 크렘린궁은 15일(현지시간) 러시아를 방문 중인 최선희 북한 외무상이 블라디미르 푸틴 러시아 대통령과 만날 가능성이 있음을 시사했다.이날 주요 외신보도에 따르면, 드미트리 페스코프 크렘린궁 대변인은 ""북한은 우리의 이웃, 가장 가까운 이웃""이라며 이 같이 말했다.페스코프 대변인은 ""모든 분야에서 북한과 파트너십을 더욱 발전시킬 것""이라며 ""북한과의 대화는 모든 수준에서 계속될 것""이라고 했다.특히 이날부터 17일까지 러시아를 방문중인 최 외무상을 언급, ""블라디미르 푸틴 대통령과 만날 가능성도 배제하지 않고 있다""고 했다.",http://v.daum.net/v/20240115183358338
9,  [속보] 크렘린궁 “北과 전방위 관계 발전시킬 것...조만간 푸틴 방북 희망”  ,서울신문,류지영,2024. 1. 15. 18:32,크렘린궁 “北과 전방위 관계 발전시킬 것...조만간 푸틴 방북 희망”류지영 기자,http://v.daum.net/v/20240115183205304
