,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보]한총리, ""2028년까지 10조 이상 투입 필수의료 수가 올릴 것""  ",뉴시스,박미영,2024. 2. 18. 15:08, 후속기사가 이어집니다 ,http://v.daum.net/v/20240218150808691
1,"  [속보]한 총리 ""의료사고처리 특례법 제정…의사들 과도한 처벌 불안 없앨것""  ",뉴시스,양소리,2024. 2. 18. 15:07, 후속기사가 이어집니다 ,http://v.daum.net/v/20240218150732681
2,"  [속보] 한총리 ""'의료사고처리 특례법' 제정… 안전망 구축""  ",머니S,김유림 기자,2024. 2. 18. 15:07,"김유림 기자 cocory0989@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>",http://v.daum.net/v/20240218150727678
3,"  [속보] 한총리, 의사 집단행동에 대국민담화 ""국민 생명 볼모 안돼""  ",MBN,정다빈,2024. 2. 18. 15:07,"한총리, 의사 집단행동에 대국민담화 ""국민 생명 볼모 안돼""< Copyright ⓒ MBN(www.mbn.co.kr)무단전재 및 재배포 금지 >",http://v.daum.net/v/20240218150724677
4,  [속보]한총리 “국민 건강 볼모로 삼는 일 있어선 안돼”…대국민 담화  ,동아일보,입력 2024. 2. 18. 15:07,2024. 2. 18. 15:07,"“의대 정원 확대 더 늦을 수 없어”“2000명 증원, 전문가들과 신중히 논의한 결과”",http://v.daum.net/v/20240218150715670
5,"  [속보] 한 총리 ""의료사고처리 특례법 제정 추진…필수의료 수가 올릴 것""  ",뉴스1,이기림 기자,2024. 2. 18. 15:07,lgirim@news1.kr ,http://v.daum.net/v/20240218150703662
6,"  [속보]한덕수 총리 ""의료사고처리 특례법 제정 안심진료환경 조성""  ",파이낸셜뉴스,이보미,2024. 2. 18. 15:06,"[파이낸셜뉴스] 한덕수 국무총리는 18일 ""‘의료사고처리 특례법’을 제정해 의료사고 안전망을 구축하는 등 의사들이 형사처벌에 대해 과도하게 불안해하시는 일 없이 안심하고 진료할 수 있는 환경을 만들어가겠다""고 강조했다. 한 총리는 이날 정부서울청사에서 의사집단행동 관련 대국민 담화문을 통해 ""저는 오늘 참으로 절박한 마음으로 의료 개혁에 대한 정부의 입장을 말씀드리고자, 이 자리에 섰다""며 ""정부는 공허한 말로 의료 개혁을 약속드리는 것이 아니다. 발표한 대책을 구체화하는데 이미 속도를 내고 있다""며 이같이 말했다. 한 총리는 ""지난 8일 법무부는 대검찰청에 응급의료의 경우, 중과실이 없는 의료사고는 형을 감면하는 방안을 적극 반영하도록, 지시했다""며 ""의료사고처리특례법 제정 작업도 추진하기 시작했다""며 설명했다.spring@fnnews.com 이보미 기자",http://v.daum.net/v/20240218150648655
7,"  [속보]한 총리 ""전공의 근무여건 개선해 '번아웃' 막을 것""  ",뉴시스,양소리,2024. 2. 18. 15:06, 후속기사가 이어집니다 ,http://v.daum.net/v/20240218150629649
8,"  [속보]한총리, ""2000명 의대생 증원 독단 결정 아닌 신중한 검증 결과""  ",뉴시스,박미영,2024. 2. 18. 15:06, 후속기사가 이어집니다 ,http://v.daum.net/v/20240218150607641
9,"  [속보] 한총리 “집단행동 따른 의료공백, 국민생명 볼모…있어선 안돼”  ",서울신문,신진호,2024. 2. 18. 15:06,"전공의를 포함한 의사들이 의과대학 정원 증원에 반발해 집단행동 조짐을 보이자 한덕수 국무총리는 18일 대국민 담화에서 “집단행동으로 인한 의료공백은 국민 생명과 건강을 볼모로 삼는, 있어서는 안 되는 일”이라고 말했다.한 총리는 이날 오후 정부서울청사에서 발표한 ‘의사 집단행동 관련 대국민 담화’를 통해 “실제 행동으로 이어져 의료공백이 벌어지면 그 피해는 고스란히 국민에게 돌아간다”고 말하며 의료계에 집단행동 자제를 촉구했다한 총리는 필수의료·지역의료 문제 등 의과대학 정원 증원의 필요성을 거론하며 “절대적인 의사 수가 확보되지 않는다면 의료개혁은 절대 성공할 수 없다. 의대정원 확대는 더 늦출 수 없다”고 강조했다.한 총리는 의사들에게는 “의료사고 처리 특별법을 제정해 의료사고 안전망을 구축하겠다”면서 “필수의료 의사들이 합당한 보상을 받게 2028년까지 10조원 이상을 투입해 필수의료 수가를 끌어올리겠다”고 약속했다.신진호 기자",http://v.daum.net/v/20240218150606640
