,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 조국, 조국혁신당 비례대표로 총선 출마  ",국민일보,김지훈,2024. 3. 11. 20:36,"[속보] 조국, 조국혁신당 비례대표로 총선 출마김지훈 기자 germany@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지",http://v.daum.net/v/20240311203609298
1,"  [속보] 서울의대 교수협 ""정부 해결 안나서면 18일 사직""  ",SBS Biz,김기송 기자,2024. 3. 11. 20:30,"비대위는 이날 서울대 연건캠퍼스, 분당서울대병원, 보라매병원을 온라인으로 연결해 총회를 연 뒤 ""정부가 사태 해결에 진정성 있는 합리적인 방안 도출에 나서지 않을 경우 다음 주 월요일인 18일을 기점으로 사직서를 제출하기로 했다""고 밝혔습니다.방재승 교수협 비대위원장은 ""사직서 제출은 개별적인 것""이라면서도 ""(교수) 전원이 사직서 제출에 합의해 줬다""고 설명했습니다.이날 비대위 총회에는 총 430명의 교수협의회 소속 교수들이 참석한 것으로 전해졌습니다. 서울대병원과 분당·보라매병원 교수진은 1,700~1,800명으로 추산됩니다. 짧고 유익한 Biz 숏폼 바로가기",http://v.daum.net/v/20240311203032225
2,"  [속보]서울대 의대 교수들 ""18일 사직하겠다. 정부 사태해결 안나서면""  ",헤럴드경제,입력 2024. 3. 11. 20:27,2024. 3. 11. 20:27,"[헤럴드경제=김성훈 기자] 서울대 의대 교수협의회 비상대책위원회가 정부가 전공의 집단사직 사태와 관련해 정부가 합리적 방안 도출에 나서지 않으면 사직서를 제출하겠다고 11일 밝혔다.비대위는 이날 서울대 연건캠퍼스, 분당서울대병원, 보라매병원을 온라인으로 연결해 총회를 연 뒤 ""정부가 사태해결에 진정성 있는 합리적인 방안도출에 나서지 않을 경우 18일을 기점으로 사직서를 제출하기로 했다""고 밝혔다.비대위 측은 ""사직서 제출은 개별적인 것""이라면서도 ""(교수) 전원이 사직서 제출에 합의해 줬다""고 설명했다.방재승 교수협 비대위원장은 '빅5' 병원과 향후 행동을 같이 연대하겠다는 뜻도 밝혔다. 방 위원장은 “지난주 주말 빅4병원 비대위 선생님들과 만났다”면서 “구체적인 사직서 제출 의견 나눈 건 아니고, 향후 행동 같이 연대한다고 합의했다”고 전했다.paq@heraldcorp.com",http://v.daum.net/v/20240311202746194
3,"  [속보] 박용진, ‘하위 10%’ 못 넘어…정봉주·김동아 본선 행  ",매일경제,위지혜 기자(wee.jihae@mk.co.kr),2024. 3. 11. 20:27,"◆ 제22대 국회의원선거 ◆민주당 강민정 선거관리 부위원장은 이날 저녁 서울 여의도 당사에서 서울 강북을, 서울 서대문갑, 경기 화성정, 세종 세종갑 지역구의 경선 결과를 발표했다.서울 강북을에서는 재선의 박용진 의원과 정봉주 전 의원, 이승훈 전략기획부위원장이 3인 경선을 치렀으나 과반이 나오지 않아 결선이 결정된 바 있다. 이후 이 부위원장은 정 전 의원에 지지 선언까지 하면서 박 의원은 정 전 의원에게 자리를 내준 것이다. 정 전 의원은 “민주당 답지 않은 분은 쉬시라”며 지역 연고가 없음에도 비명계 의원 자객출마에 나선 인물이다. 정 전 의원이 박 의원을 제치면서 민주당은 친명계가 완전히 장악했다는 평가가 나온다.박 의원은 이날 SBS라디오에 출연해 자신의 본선 진출은 “민주당을 위한 대반전”이라고 설명한 바 있다. 박 의원은 “민주당의 당대표, 혹은 지도부가 잘못한 일들을 당원들과 지지자들이 바로잡을 만한 역동성이 있다는 것을 보여주면 서울과 수도권 선거에 많은 영향을 미칠 것”이라고 말했다. 그러면서 “비명횡사라고 하는 언론의 비판에 또 한 사례를 더하느냐, 아니면 민주당 총선 승리를 위한 대반전의 역전 드라마가 만들어지느냐”라고 말했다.청년전략지구로 지정된 서울 서대문갑에서는 김동아 변호사가 권지웅 전 비상대책위원, 김규현 전 검사를 이기고 경선에 통과했다. ‘대장동 변호사’라 불리는 김 변호사는 정진상 전 당대표 정무조정실장의 변호를 맡았던 대표적인 친명계 인물이다.김 변호사의 본선행을 두고는 ‘공정성’ 논란이 일고 있다. 당초 김 변호사는 서울 서대문갑의 3인의 경선 후보를 정하는 국민오디션에도 통과하지 못했었다. 그러나 민주당 전략공천관리위원회가 오디션을 통과했던 성치훈 전 청와대 행정관을 김동아 변호사로 변경하며 경선에 진출한 것이다. 당 전략공관위는 ‘안희정 전 충남도지사의 피해자 김지은씨에 대한 2차 가해’를 이유로 성 전 행정관을 배제했다고 밝혔는데 이는 오디션 과정에서도 질의가 이뤄졌던 부분이다. 당초 경선 결과 발표일이었던 지난 10일에는 홈페이지 서버 다운을 이유로 투표가 11일까지 연장됐다. 이 대표 지지자들의 압도적 지지를 받았던 김 변호사는 결국 경선에 통과했다.세종 세종갑에서는 이영선 변호사가 이강진 전 세종시 정무부시장, 노종용 민주당 정책위원회 부의장, 박범종 세종시당 청년위원장을 제치고 본선에 진출했다. 신설 선거구인 경기 화성정에서는 비례대표 출신의 전용기 의원이 진석범 당대표 특보, 조대현 전 청와대 행정관을 제치고 본선에 진출했다. 정 의원은 국민의힘 유경준 의원과 개혁신당 이원욱 의원과 총선을 치르게 된다.",http://v.daum.net/v/20240311202702180
4,"  [속보] 민주, 전용기(화성정) 경선 승리...박용진 낙천  ",경기일보,김영호 기자,2024. 3. 11. 20:25,   더불어민주당 중앙당선거관리위원회는 11일 제22대 국회의원선거 전략선거구 2곳 등에 대한 경선 결과를 발표했다. 전략선거구 2곳 중 1곳인 경기 화성정은 전용기 의원(비례)이 이재명 대표 특보인 진석범 전 경기복지재단 대표와 조대현 전 국무총리실 민정실장을 꺾고 공천권을 받았다. 또 다른 한곳인 세종갑은 이영선 중앙당 부대변인이 다른 경쟁자들을 누르고 본선행을 확정 지었다. 특히 친명(친이재명)계로 분류되는 정봉주 당 교육연수원장이 박용진 의원을 이기고 서울 강북을 본선행을 확정 지었다. 박 의원은 ‘득표율 감점 30%’의 벽을 넘지 못했다. 앞서 당 공천관리위원회는 박 의원이 현역 의원 하위 10% 수준이라는 평가를 했다. 따라서 박 의원은 경선 득표율의 30%가 자동 감산된다. 앞서 이승훈 예비후보까지 포함한 3자 경선에서 박 의원이 과반을 달성하지 못하고 결선을 치르게 된 것도 이 페널티가 영향을 미쳤다. 이와 함께 청년전략특구로 지정한 서울 서대문갑은 ‘대장동 변호사’로 불리는 친명계 김동아 변호사가 공천장을 따냈다. 김영호 기자 ho3920@kyeonggi.com ,http://v.daum.net/v/20240311202530166
5,  [속보] 민주당 세종갑 이영선 부대변인 본선행…류제화·김종민과 맞붙는다  ,대전일보,김소연 기자,2024. 3. 11. 20:22,"더불어민주당 세종갑 지역구 경선에서 이영선 중앙당 부대변인이 본선 진출에 성공했다.민주당 중앙당선거관리위원회는 11일 오후 여의도 당사에서 이 같은 내용의 경선 결과를 발표했다.세종갑은 현역인 홍성국 의원이 불출마를 선언하면서 무주공산이라는 평가를 받았다. 이영선 예비후보를 포함해 이강진 전 세종시 정무부시장, 노종용 정책위 부의장, 박범종 시당 청년위원장 등 총 4명이 치열한 경합을 벌였다.이로써 세종갑은 이영선 부대변인과 국민의힘 류제화 예비후보, 새로운미래 김종민 예비후보 등이 3파전을 펼치게 됐다.아울러 민주당 선관위는 서울 강북을에 정봉주 당 교육연수원장, 서대문갑에 김동아 변호사, 경기 화성정에 전용기 비례대표 의원을 본선 진출자 명단에 올렸다.",http://v.daum.net/v/20240311202246117
6,"  [속보] ‘하위 10%’ 박용진, 정봉주에 패배...대장동 변호사 서대문갑 공천  ",조선일보,주희연 기자,2024. 3. 11. 20:17,"더불어민주당 대표적 비명계인 박용진(재선) 의원이 11일 서울 강북을 경선에서 친명계 정봉주 전 의원에게 패배했다. 박 의원은 경선 시 감점 불이익을 받는 현역 평가 ‘하위 10%’에 포함돼 경선에서 30% 감점을 받은 상태였다. 이미 비명계 현역이 줄줄이 낙천한 상황에서 박 의원까지 경선에서 탈락하면서 ‘친명불패’ 공천이 계속되고 있다는 평가가 나온다.민주당 중앙당 선거관리위원회는 이날 브리핑에서 서울 강북을, 서울 서대문갑, 경기 화성정, 세종갑 경선 결과를 발표했다. 청년 전략 선거구로 치러진 서대문갑에선 친명계 김동아 변호사가 권지웅·김규현 후보를 누르고 1등을 했다. 김 변호사는 대장동 사건으로 기소된 정진상 전 당대표 정무조정실장의 변호를 맡았다. 김 변호사는 당초 청년 오디션 결과 경선 후보 3위 안에 들지 못했으나, 최고위에서 하루 만에 결정이 번복돼 경선 후보가 될 수 있었다.홍성국 의원이 불출마를 선언한 세종갑에는 이영선 예비후보가 이강진·노종용 예비후보를 누르고 본선행이 결정됐다. 선거구 획정으로 신설된 경기 화성시정에는 전용기(비례) 의원이 진석범·조대현 후보를 제치고 1위를 차지했다.",http://v.daum.net/v/20240311201724011
7,  [속보] ‘비명’ 박용진 결국 탈락… 친명 정봉주 강북을 공천  ,국민일보,김지훈,2024. 3. 11. 20:15,"[속보] ‘비명’ 박용진 결국 탈락… 친명 정봉주에 밀려김지훈 기자 germany@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지",http://v.daum.net/v/20240311201509980
8,  [속보] ‘친명’ 정봉주 서울 강북을 공천…‘비명’ 박용진 낙천  ,서울신문,최재헌,2024. 3. 11. 20:15,"비명(비이재명)계 대표인사인 박용진 더불어민주당 의원이 4·10 총선 당내 공천에서 탈락했다. 친명(친이재명)계인 정봉주 당 교육연수원장이 박 의원을 이기고 서울 강북을 본선행을 확정 지었다.민주당 선거관리위원회는 11일 오후 서울 여의도 중앙당사에서 이 같은 내용의 6차 경선 결과를 발표했다. 앞서 박 의원은 현역 의원 평가에서 하위 10% 통보를 받았다고 밝혔다. 하위 10%는 득표수의 30%가 감산 되는 불이익을 받는다.대표적인 비명계인 박 의원의 탈락으로 ‘비명횡사’ 공천 갈등이 정점으로 치달을 것으로 보인다.우상호 의원의 불출마로 ‘청년 전략 특구’로 지정된 서울 서대문갑에서는 권지웅 전 비상대책위원과 김규현 전 서울북부지검 검사, 김동아 변호사 등 3인이 경선을 치렀고 김 변호사가 최종 후보가 됐다. 김 변호사는 이재명 대표의 최측근인 정진상 전 당 대표 정무조정실장의 변호를 맡아 ‘대장동 변호사’로 불렸다.4자 경선이 치러진 세종갑 선거구에서는 이영선 중앙당 부대변인이 다른 경쟁자들을 누르고 본선행을 확정 지었다. 경기 화성정에서는 전용기 비례대표 의원이 3인 경선에서 승리했다.최재헌 기자",http://v.daum.net/v/20240311201502974
9,  [속보] 친명 '대장동 변호사' 김동아-정봉주 본선행...박용진 탈락  ,더팩트,설상미,2024. 3. 11. 20:12,snow@tf.co.kr발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write,http://v.daum.net/v/20240311201242954
