,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,  [특파원 시선] 새해 벽두 뉴욕에서 들었던 '폭발음'  ,연합뉴스,이지헌,2024. 1. 21. 07:07,"(뉴욕=연합뉴스) 이지헌 특파원 = 새해 둘째 날인 지난 1월 2일 새벽 5시 45분(미 뉴욕시간) '쿵'하는 굉음과 함께 아파트 건물이 흔들렸다.바깥 주차장에선 충격 탓인지 차량 도난방지장치 경보음이 요란하게 울리기 시작했다.동네 생활정보나 육아 팁 등을 공유하는 지역주민 '왓츠앱' 단체채팅방에도 불이 났다. '폭발음'과 진동에 잠이 깼다는 글이 계속 올라왔다.창문 밖을 내다보니 시내 멀리서 경찰차 혹은 구급차가 달려가는 듯한 불빛이 언뜻 보이는 것 같기도 했다. 하지만 뉴스 앱에 속보가 뜬 것은 없었다. '무언가 터졌나…' 불길한 생각이 끊이지 않았다.얼마 지나지 않아 소방차 십여대가 아파트 주변 도로를 가득 메웠다. 헬기도 몇 대 주변을 배회했다. 한 주민이 집 밖에 나가 무슨 일이 벌어졌냐고 소방관에게 물었지만 '자신들도 무슨 일인지 모른다'는 답만 들었다고 채팅방에 공유했다.TV에서나 보던 방송국 차량도 나타나 중계 카메라를 설치하기 시작했다.사태의 진상은 몇 시간 뒤 밝혀졌다. 인근 지역에 약한 지진이 난 것을 주민들이 폭발음으로 오인했다는 게 뉴욕시 소방당국 등이 내린 결론이었다. 그리고 이번 지진으로 인명피해나 건물 구조안전성 영향은 ""없다""라고도 덧붙였다.미국 지질조사국(USGS)에 따르면 이날 뉴욕시에선 규모 1.7의 지진이 발생했다. 지진 발생 깊이는 5㎞였다. 규모 1.7이라니, 어디에 지진 났다고 말하기도 민망한 숫자다.어찌보면 '해프닝'으로 끝난 개인적인 경험을 굳이 불러온 이유는 단체채팅방의 '폭발음'이라는 키워드 때문이다. 현지 언론들도 다수의 폭발음 신고가 소방당국에 접수됐다고 보도했다.미국, 아니 그중에서 뉴욕에서 큰 폭발음이 들렸다면 무의식적으로 '테러'를 연상하는 것은 무리가 아닐 테다.며칠 전 뉴욕시 당국은 9·11 테러의 1천650번째 희생자의 신원을 DNA 검사로 밝혀냈다고 발표했다. 희생자 신원은 테러 당시 세계무역센터 제2건물 105층에서 보험회사 직원으로 당시 44세 남성이었다.20년도 더 지난 2001년의 9·11 테러는 아직 희생자 파악도 마무리되지 않은 현재 진행 중인 사건임을 상기시켜주는 소식이었다.이와 별개로 뉴욕 시민의 테러 걱정이 늘어난 것도 사실이다.실제로 뉴욕시 당국은 최근 테러 발생 가능성에 대한 경계 태세를 강화하고 나섰다. 시 당국은 특히 이스라엘의 가자 지구 공습에 보복하기 위해 이슬람계 테러 조직이 미국 내 유대인 사회를 공격할 가능성을 우려하고 있다. 뉴욕은 미국 전역에서 유대인 인구 비중이 가장 높은 지역이다.시내 곳곳의 유대교 회당은 물론 번화가나 주요 지하철역에는 경찰관들이 복수로 근무를 서는 모습을 쉽게 찾아볼 수 있다.주말 유대인이 많이 사는 브루클린의 크라운하이츠 지역을 지나가다가 대형 회당 앞에 무장 경찰들과 대형 경찰트럭 여러 대가 대기 중인 모습을 보기도 했다.얼마전 타임스퀘어의 신년 행사장에도 질서유지 및 테러대응을 위한 경찰 인력이 거리에 깔렸다. 행사장으로 들어가는 이들은 소지품 검색을 받아야 했다.물론 평소 출퇴근 지하철에서도 경찰관이 수상한 소지품에 대해 불심검문을 할 수 있다는 안내 방송이 나온다.한국 살면서 전투기가 시끄럽게 하늘을 날거나 멀리서 폭발음 비슷한 굉음이 들리면 무의식적으로 '전쟁 났나'라고 생각하곤 했던 게 기자만의 경험은 아닐 테다.하지만 미국 뉴욕도 규모 1.7 지진에 불길한 예감을 떠올려야 할 만큼 마음 편히 살 수 있는 곳은 아닌 듯하다.pan@yna.co.kr▶제보는 카톡 okjebo",http://v.daum.net/v/20240121070706594
1,"  [속보] ‘케인·다이어와 재회 현실로?’ 토트넘 출신 트리피어, 바이에른 뮌헨 이적 구두 합의 완료  ",스포츠경향,박찬기 기자,2024. 1. 21. 01:44,바이에른 뮌헨이 토트넘 홋스퍼 출신 뉴캐슬 유나이티드의 라이트백 키에런 트리피어(34)와 이적에 대한 구두 합의를 마쳤다.독일 매체 ‘스카이스포츠 독일’의 플로리안 플레텐버그 기자는 21일(한국시간) 개인 SNS를 통해 “키에런 트리피어와 바이에른 뮌헨이 구두 합의를 마쳤다. 트리피어는 뮌헨행을 원하고 있다. 현재 뉴캐슬과 대화가 진행 중이며 협상이 실패할 수도 있다”라고 전했다.뮌헨은 토트넘 출신 선수들을 올 시즌에만 2명 영입했다. 시즌 시작 전 토트넘의 주포이자 세계적인 스트라이커 해리 케인(31)을 데려왔고 지난 12일 에릭 다이어(30)까지 임대로 영입했다.이어 뮌헨은 트리피어까지 영입을 노리고 있다. 뮌헨은 현재 주전 라이트백 누사이르 마즈라위(27)가 2023 아프리카 네이션스컵에 차출돼 팀을 이탈한 상태고 미드필더 콘라트 라이머(27)가 대신 풀백으로 기용되고 있다.이에 뮌헨은 파리 생제르맹의 노르디 무키엘레(27)를 영입하려 나서고 있으나 협상에 난항을 겪고 있다. 이후 뮌헨은 재빠르게 다음 목표로 눈을 돌렸고 트리피어와 구두 합의를 마치며 영입에 가까워지고 있다.트리피어는 현재 뉴캐슬에서 뛰고 있지만 2015년부터 2019년까지 4년간 토트넘에서 활약했다. 당시 토트넘에서 케인·다이어와 함께 뛰었던 트리피어는 뮌헨으로 합류하게 된다면 옛 동료들과 재회하게 된다.트리피어 역시 뮌헨 이적을 원하고 있다. 지난 시즌을 앞두고 뉴캐슬로 이적해 좋은 활약을 펼치며 팀을 유럽축구연맹(UEFA) 챔피언스리그로 이끈 트리피어는 뮌헨으로 합류해 더 높은 곳을 향하길 원하고 있다.박찬기 온라인기자 chan@kyunghyang.com,http://v.daum.net/v/20240121014422560
2,"  [속보] 황인범이 살린 클린스만호, 아시안컵 요르단전 2-2 진땀 무승부  ",서울신문,권윤희,2024. 1. 20. 22:50,"64년 만의 아시안컵 우승에 도전하는 클린스만호가 후반 추가시간 상대 자책골로 ‘복병’ 요르단과 진땀 무승부를 거뒀다.위르겐 클린스만 감독이 지휘하는 한국 축구대표팀은 20일(이하 한국시간) 카타르 도하의 앗수마마 스타디움에서 열린 2023 아시아축구연맹(AFC) 카타르 아시안컵 조별리그 E조 2차전에서 요르단과 2-2로 비겼다.한국은 전반 9분 만에 손흥민(토트넘)의 선제골로 앞서나갔으나 전반 37분 박용우(알아인)의 자책골, 전반 추가시간 요르단 야잔 알나이마트의 골에 역전당했다.그러나 후반 추가시간 황인범(즈베즈다)의 슈팅이 상대 수비수 발을 맞고 골대로 향하면서 가까스로 비겼다.요르단과 한국 모두 1승 1무로 승점 4를 기록한 가운데, 골 득실에서 앞선 요르단(+4골)이 한국(+2골)에 앞선 조 1위를 유지했다.조 2위인 한국은 25일 오후 8시 30분에 알와크라의 알자눕 스타디움에서 치르는 말레이시아와 3차전에서 승리해야 조 1위 16강 진출 가능성을 높일 수 있다.E조 1위는 D조 2위와, E조 2위는 F조 1위와 16강전을 치른다.다만, D조 2위가 한국과 더불어 우승 후보로 꼽히는 일본이 될 가능성이 작지 않은 상황이어서, E조 1위가 2위보다 최종적으로 더 수월한 대진을 받는다고 장담하기는 어렵다.권윤희 기자",http://v.daum.net/v/20240120225002439
3,"  [속보] 황인범이 살린 클린스만호, 아시안컵 요르단전 2-2 진땀 무승부  ",MBN,입력 2024. 1. 20. 22:46,2024. 1. 20. 22:46,"황인범이 살린 클린스만호, 아시안컵 요르단전 2-2 진땀 무승부< Copyright ⓒ MBN(www.mbn.co.kr)무단전재 및 재배포 금지 >",http://v.daum.net/v/20240120224637417
4,"  [속보]韓, 요르단과 2대2 무승부…손흥민 선제골  ",아시아경제,박병희,2024. 1. 20. 22:42,"한국 축구 대표팀이 2023 아시아축구연맹(AFC) 아시안컵 E조 두 번째 경기에서 요르단과 2대2 무승부를 기록했다.위르겐 클린스만 감독이 이끄는 대표팀은 20일 카타르 도하의 알투마마 스타디움에서 열린 요르단과의 경기에서 경시 시작 5분 만에 손흥민이 페널티킥을 얻어내 골을 성공시키며 순조롭게 출발했다.하지만 요르단의 거친 몸싸움에 이내 경기 주도권을 내주며 고전했다. 전반 20분 이후에는 잇따라 코너킥과 프리킥을 내주며 수세에 몰렸다.클린스만 감독은 후반 시작과 동시에 박용우와 이기제를 빼고 김태환과 홍현석을 투입했다. 후반 24분에는 조규성과 이재성을 빼고 정우영과 오현규를 투입하며 공격의 고삐를 당겼다. 하지만 좀처럼 결정적인 기회를 잡지 못 한 채 답답한 흐름이 이어졌다.대표팀은 후반 45분 동점을 만들었다. 김태환이 오른쪽을 돌파한 뒤 올린 크로스가 오현규의 머리를 살짝 스쳤고, 그대로 흘러간 공을 왼쪽에서 손흥민이 잡았다. 손흥민은 컷백으로 중앙의 황인범에게 연결했고 황인범이 왼발로 연결한 슛이 상대 수비를 맞고 골문 안으로 빨려 들어갔다.대표팀은 후반 추가시간 주도권을 쥐고 요르단 골문을 계속 위협했으나 추가 골 사냥에는 결국 실패했다.대표팀은 오는 25일 오후 8시30분 김판곤 감독이 이끄는 말레이시아와 조별 리그 마지막 경기를 한다.박병희 기자 nut@asiae.co.kr",http://v.daum.net/v/20240120224211381
5,"  [속보] '행운의 자책골' 클린스만호, 천신만고 끝 요르단과 2-2 무승부  ",뉴스1,김도용 기자,2024. 1. 20. 22:40,rok1954@news1.kr ,http://v.daum.net/v/20240120224003335
6,  [속보] 끌려가던 한국 후반 46분 2-2 동점…요르단 알아랍 자책골  ,뉴스1,김도용 기자,2024. 1. 20. 22:30,rok1954@news1.kr ,http://v.daum.net/v/20240120223043266
7,  [속보] 아! 손흥민 선제골 이어 박용우 자책골...요르단에 1-2(전반 종료)  ,더팩트,박순규,2024. 1. 20. 21:41,"20일 2023 카타르 아시안컵 E조 2차전손흥민, 전반 9분 페널티킥 성공...A매치 42호골박용우 전반 37분 자책골위르겐 클린스만 감독이 이끄는 한국 축구 대표팀은 20일 오후 8시 30분(한국시간) 카타르 도하의 알투마마 스타디움에서 열린 요르단과 2023 AFC(아시아축구연맹) 카타르 아시안컵 E조 2차전에서 전반 9분 손흥민의 페널티킥 선제골을 앞세워 1-0으로 앞서나갔다. 하지만 전반 37분 박용우의 자책골로 1-1 동점을 허용한 뒤 전반 추가시간(45+6분) 야잔 알 나미마트에게 역전골을 내줘 1-2로 끌려가고 있다.한국은 전반 추가시간이 끝날 무렵 이기제의 중거리 슛에 이은 조규성이 골대를 빗나가면서 동점 기회를 놓쳤다. 한국은 전반 볼점유율에서 53%-47%로 앞서면서도 파이널 서드에서의 슈팅 수 8-8, 유효 슛에서는 오히려 2-3으로 열세를 보였다.손흥민은 전반 4분 황인범의 침투패스를 받아 골 마우스 정면으로 들어가는 순간 요르단 수비수 에산 하다드의 백태클에 걸려 넘어지면서 파울을 얻어냈다. 카타르 주심 살만 아흐마드 파라히는 당초 골라인 아웃을 선언했으나 VAR 판독 끝에 페널티킥 파울을 선언했다. 손흥민은 대담하게 중앙으로 오른발 페널티킥을 차 골키퍼를 완전히 속이며 요르단 골망을 흔들었다. 2011년 카타르 아시안컵에서 데뷔골을 기록했던 손흥민은 A매치 120경기에서 42호골을 기록했다.손흥민은 훈련 도중 십자인대 파열 부상으로 소집 해제된 골키퍼 김승규의 유니폼을 들고 세리머리를 하며 도중하차한 김승규를 위로했다.이날 클린스만 감독은 2연승으로 조기 16강 진출을 확정짓기 위해 조규성(미트윌란)과 손흥민을 투톱으로 하는 4-4-2전형을 바탕으로 미드필드진에 이재성(마인츠) 황인범(즈베즈다) 박용우(알아인) 이강인을 내세웠다. 포백진에는 이기제(수원삼성)~김민재~정승현~설영우(이상 울산현대), 골키퍼에는 조현우가 기용됐다.skp2002@tf.co.kr발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",http://v.daum.net/v/20240120214102857
8,"  [속보] 어수선한 한국, 요르단에 1-2 역전 허용…전반 51분 알나시마트 골  ",뉴스1,김도용 기자,2024. 1. 20. 21:22,dyk0609@news1.kr ,http://v.daum.net/v/20240120212225691
9,  [속보] 한국 1-1 요르단 : 전반 37분 박용우 자책골  ,뉴스1,김도용 기자,2024. 1. 20. 21:09,dyk0609@news1.kr ,http://v.daum.net/v/20240120210909565
