,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 이낙연, 광주 광산을 출마 선언  ",전주MBC,이정용,2024. 3. 10. 15:31,Nan,http://v.daum.net/v/20240310153140560
1,"  [속보] 이낙연, ‘광주 광산을’ 출마 선언…민형배와 맞대결  ",국민일보,이강민,2024. 3. 10. 15:31,"이낙연 새로운미래 공동대표가 4·10 총선 광주 광산을 지역구 출마를 공식 선언했다. 이로써 더불어민주당의 대표적인 ‘친명계’ 민형배 의원과 맞붙게 됐다.이 대표는 10일 오후 광주김대중컨벤션센터에서 열린 새로운미래 총선 필승 결의 대회에서 “광주 시민들의 의견을 폭넓게 들은 결과 광산을에 출마하기로 했다”고 밝혔다.이 대표는 “광산을에서 민주주의 회복과 민주세력 재건을 주민들게 호소드릴 것”이라며 “광주를 다시 자랑스럽게 만들겠다”고 강조했다.광주 광산을은 대표적인 ‘친명계’ 민주당 민형배 의원의 지역구다. 민 의원은 지난달 29일 3인 경선을 통해 1차에서 과반을 얻어 결선투표 없이 본선에 진출하게 됐다.이강민 기자 river@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지",http://v.daum.net/v/20240310153107553
2,"  [속보] 이낙연, '친명' 민형배 지역구 광주 광산을 출마 선언  ",서울경제,강도림 기자,2024. 3. 10. 15:28,"이낙연 새로운미래 대표는 4·10 총선에서 광주 광산을 출마를 공식선언했다. 강성 친명계 민형배 더불어민주당 의원의 지역구로 반이재명 노선을 더 확고히하는 모습이다.이 대표는 10일 광주 김대중컨벤션센터에서 열린 필승결의대회에서 “광산을에 출마하기로 결정했다”며 “광산을에서 민주주의 회복과 민주 세력 재건을 주민들께 호소드리겠다”고 밝혔다.그는 “광산을 비롯한 광주를 위해 세 가지를 약속드린다”며 “군공항 이전, 인공지능(AI) 산업 2단계 사업 지원, 광주와 전남의 협업 지원”을 언급했다. 또 “저의 운명을 광주 시민 여러분께 맡기겠다”며 “제 인생을 광주 시민 여러분의 명령에 따라 살겠다”고 했다.이 대표는 그동안 양향자 의원 지역구였던 광주 서구을과 북구갑 등을 놓고 출마 지역을 고심해왔다.",http://v.daum.net/v/20240310152857509
3,"  [속보] 이낙연, 광주 광산을 출마…민주 민형배 지역구  ",아이뉴스24,유범열,2024. 3. 10. 15:22,[아이뉴스24 유범열 기자]이낙연 새로운미래 공동대표가 10일 광주 광산을 출마를 선언했다. 더불어민주당 민형배 의원 출마 지역구다.,http://v.daum.net/v/20240310152257394
4,"  [속보] 이낙연 '광주 광산을' 출마 선언…""민주세력 재건 호소""  ",한국경제,노정동,2024. 3. 10. 15:21,"이낙연 새로운미래 공동대표가 10일 '4·10 총선' 광주 광산을 지역구 출마를 공식 선언했다.이 대표는 이날 오후 광주김대중컨벤션센터에서 열린 새로운미래 총선 필승 결의대회에서 ""광주 시민들의 의견을 폭넓게 들은 결과 광산을에 출마하기로 했다""고 발표했다.이 대표는 ""광산을에서 민주주의 회복과 민주세력 재건을 주민들께 호소드릴 것""이라며 ""광주를 다시 자랑스럽게 만들겠다""고 말했다.광주 광산을은 민주당 민형배 의원의 지역구다. 민 의원은 지난달 29일 3인 경선을 통해 1차에서 과반을 얻어 결선투표 없이 민주당 공천을 확정했다.노정동 한경닷컴 기자 dong2@hankyung.com",http://v.daum.net/v/20240310152103351
5,  [속보] 이낙연 ‘친명’ 민형배 지역구 ‘광주 광산을’ 출마 선언  ,서울신문,류재민,2024. 3. 10. 15:21,이낙연 새로운미래 공동대표가 4·10 총선 광주 광산을 지역구 출마를 공식 선언했다.이 대표는 10일 오후 광주김대중컨벤션센터에서 열린 새로운미래 총선 필승 결의대회에서 “광주 시민들의 의견을 폭넓게 들은 결과 광산을에 출마하기로 했다”고 밝혔다.이 대표는 “광산을에서 민주주의 회복과 민주 세력 재건을 주민들께 호소드릴 것”이라며 “광주를 다시 자랑스럽게 만들겠다”고 강조했다.광주 광산을은 대표적인 ‘친명계’인 민주당 민형배 의원의 지역구다. 민 의원은 지난달 29일 3인 경선을 통해 1차에서 과반을 얻어 결선투표 없이 본선 진출권을 따냈다.류재민 기자,http://v.daum.net/v/20240310152101349
6,"  [속보]이낙연, 민형배 지역구 ‘광주 광산을’ 출마 선언  ",채널A,김설혜,2024. 3. 10. 15:19,"이 공동대표는 오늘 광주 필승결의대회에서 ""정권교체의 희망을 드리고 민주세력을 재건하며 광주와 호남을 다시 자랑스럽게 만들겠다""며 ""광산을 비롯한 광주를 위해 군공항 이전 지원, 인공지능산업 2단계 사업 지원, 광주와 전남의 협업을 지원하겠다""고 이같이 밝혔습니다. 그는 ""저를 악마처럼 비방한 턱없는 가짜뉴스에 화도 나고 억울하기도 하지만 부덕한 탓도 있다. 사과드린다""면서도 ""민주당은 김대중·노무현 정신을 압살한 개딸정당, 방탄정당으로 전락했고 광주정신을 배신했다. 새로운미래가 김대중 정신을 지키는 진짜 민주당의 씨앗이 되겠다""고 말했습니다. 그러면서 ""광주는 다른 광역도시보다 발전이 더디고 호남은 타 지역보다 낙후돼 있다""며 ""이재명 민주당의 이번 공천을 보면 광주에서 큰 정치인이 나올 수 없다""고 민 의원을 저격했습니다. 이어 ""광주에서 큰 정치인이 나와야 전국에서 광주를 다시 보고 중앙에서 광주를 주목한다""며 ""저는 많은 것을 배우고 다양한 경험을 쌓았다. 제 인생을 광주 시민 여러분의 명령에 따라 살겠다""고 덧붙였습니다. 김설혜 기자 sulhye87@ichannela.com",http://v.daum.net/v/20240310151951327
7,"  [속보] 이낙연, 광주 광산을 출마 선언…‘친명’ 민형배와 대결  ",문화일보,조성진 기자,2024. 3. 10. 15:15,"이낙연 새로운미래 공동대표는 10일 민형배 더불어민주당 의원의 지역구인 광주 광산을에 출마하기로 했다고 밝혔다.이 공동대표는 이날 광주 서구 김대중컨벤션센터에서 열린 필승결의대회에서 “정권교체의 희망을 드리고 민주세력을 재건하며 광주와 호남을 다시 자랑스럽게 만들겠다”며 이같이 밝혔다. 그는 “저를 악마처럼 비방한 턱없는 가짜뉴스에 화도 나고 억울하기도 하지만 부덕한 탓도 있다. 사과드린다”면서도 “민주당은 김대중·노무현 정신을 압살한 개딸정당, 방탄정당으로 전락했고 광주정신을 배신했다. 새로운미래가 김대중 정신을 지키는 진짜 민주당의 씨앗이 되겠다”고 했다.이 공동대표는 “민주당은 이미 죽었다. 이재명 민주당에서 사라진 김대중 정신을 되살리겠다”고도 했다. 그는 “광주는 다른 광역도시보다 발전이 더디고 호남은 타 지역보다 낙후돼 있다”며 “이재명 민주당의 이번 공천을 보면 광주에서 큰 정치인이 나올 수 없다”고 강조했다. 이 공동대표는 “광주에서 큰 정치인이 나와야 전국에서 광주를 다시 보고 중앙에서 광주를 주목한다”며 “저는 많은 것을 배우고 다양한 경험을 쌓았다. 제 인생을 광주 시민 여러분의 명령에 따라 살겠다”고 했다.조성진 기자",http://v.daum.net/v/20240310151506241
8,"  [속보] 이낙연 '광주 광산을' 출마 선언…""민주세력 재건""  ",뉴스1,김동수 기자,2024. 3. 10. 15:13,"(광주=뉴스1) 김동수 기자 = 이낙연 새로운미래 공동대표가 4·10 총선 광주 광산을 지역구 출마를 공식 선언했다. 이 대표는 10일 오후 광주김대중컨벤션센터에서 열린 새로운미래 총선 필승 결의대회에서 ""광주 시민들의 의견을 폭넓게 들은 결과 광산을에 출마하기로 했다""고 밝혔다. 이 대표는 ""광산을에서 민주주의 회복과 민주세력 재건을 주민들께 호소드릴 것""이라며 ""광주를 다시 자랑스럽게 만들겠다""고 강조했다. 광주 광산을은 대표적인 '친명계'인 민주당 민형배 의원의 지역구다. 민 의원은 지난달 29일 3인 경선을 통해 1차에서 과반을 얻어 결선투표 없이 본선진출권을 따냈다.nofatejb@news1.kr ",http://v.daum.net/v/20240310151311206
9,"  [속보] 이낙연, 민형배 지역구인 광주 광산을 출마 선언  ",세계일보,현화영,2024. 3. 10. 15:11,현화영 기자 hhy@segye.com현화영 기자 hhy@segye.com,http://v.daum.net/v/20240310151133168
