,뉴스제목,신문사,기자,입력시간,뉴스기사,url
0,"  [속보] 김정은 '건군절' 맞아 국방성 방문…""임전태세 유지""  ",뉴스1,구교운 기자,2024. 2. 9. 06:30,kukoo@news1.kr ,http://v.daum.net/v/20240209063057030
1,  [속보] 美 S&P 500 지수 장중 5000선 첫 돌파… 종가는 하회  ,조선비즈,박지영 기자,2024. 2. 9. 06:18,"미국 뉴욕증시의 대표 주가지수 중 하나인 스탠더드앤드푸어스(S&P) 500지수가 8일(현지 시각) 사상 처음으로 장중 5000선을 돌파했다. 다만 종가 기준으로는 5000선을 유지하는 데는 실패했다.이날 뉴욕증시에서 S&P 500지수는 장 마감 직전인 현지 시각 오후 3시 59분 5000.4를 고점으로 기록했다. 이는 사상 처음으로 5000선을 넘어선 것이다.다만, 지수는 이날 전장보다 2.85포인트(0.06%) 오른 4997.91에 거래를 마쳐 종가 기준으로 5000선을 유지하는 데는 실패지만 전날에 이어 이틀 연속 사상 최고치 기록을 세웠다.S&P500지수가 이날 장중 5000선을 넘어서며 2년 10개월 만에 또다시 ‘빅피겨’ 돌파 기록을 세우게 됐다. S&P500지수는 미국 증시에 상장된 약 500개 대형주 가격 움직임을 시가총액 가중방식으로 산출하는 지수다. 이에 미국 증시 전반의 상황을 잘 반영하는 시장대표지수로 꼽힌다.한편 이날 다우존스30 산업평균지수는 전장보다 48.97포인트(0.13%) 오른 3만8726.33에 거래를 마쳤고 기술주 중심의 나스닥 지수는 37.07포인트(0.24%) 오른 1만5793.72에 장을 마쳤다.대형 기술주를 중심으로 미국에 상장된 기업들의 작년 4분기 실적이 예상 밖 호조를 나타내며 이같은 지수 상승을 이끈 것으로 분석된다. 이날 실적을 발표한 디즈니가 11.5% 급등했고, 반도체 업체 암(Arm)은 기대를 웃돈 실적 발표에 주가가 47.9%나 폭등했다.- Copyright ⓒ 조선비즈 & Chosun.com -",http://v.daum.net/v/20240209061850902
2,"  [속보] 미 S&P 500 지수 장중 5,000선 첫 돌파…종가는 하회  ",한국경제TV,조시형,2024. 2. 9. 06:14,"[한국경제TV 조시형 기자] [속보] 미 S&P 500 지수 장중 5,000선 첫 돌파…종가는 하회 조시형기자 jsh1990@wowtv.co.kr",http://v.daum.net/v/20240209061432859
3,"  [속보]뉴욕 증시, 소폭 상승…다우 0.13%↑ 나스닥 0.24%↑ S&P 0.06%↑  ",뉴시스,유세진 기자,2024. 2. 9. 06:13, [서울=뉴시스] 유세진 기자 = ☞공감언론 뉴시스 dbtpwls@newsis.com ,http://v.daum.net/v/20240209061350853
4,"  [속보] 이스라엘 하마스 휴전 제안 거부, 국제유가 3% 이상 급등  ",뉴스1,박형기 기자,2024. 2. 9. 06:07,sinopark@news1.kr ,http://v.daum.net/v/20240209060709792
5,  [속보]S&P500 5천선 돌파 불발…ARM 48%↑  ,이데일리,김상윤,2024. 2. 9. 06:07," [뉴욕=이데일리 김상윤 특파원] 뉴욕증시가 소폭 오른채 마감됐다. 대형주 벤치마크인 S&P500지수는 끝내 5000선을 찍지 못했다. 기술주가 끌어올린 랠리가 이제 정점을 찍은 게 아니냐는 경계심이 나오고 있다.S&P500지수는 0.06% 오른 4997.97을, 기술주 위주의 나스닥지수는 0.24% 오른 1만5793.72에 거래를 마쳤다. S&P500지수는 5000선 돌파를 결국 하지 못했다.기업들의 실적호조와 기술주의 지속적인 상승세가 최근 시장을 끌어올렸지만, 랠리가 계속 가능할지 의문이 나오고 있다. 이미 기술주는 상당수 오르르면 밸류에이션이 고평가 된 상황이다. 엔비디아의 실적 발표가 남아 있긴 하지만, 이미 상당수 기업들의 실적 발표가 마무리됐고 추가적인 촉매가 없는 상황이다. 프리덤 캐피털 마켓츠의 수석 글로벌 전략가 제이 우즈는 “말도 안 되는 랠리의 또 다른 정점에 서 있다”며 “시장은 이제 랠리가 피곤하다고 생각하고 있다”고 평가했다.팹리스(반도체 설계의 팹리스로 불리는 ARM의 주가는 무려 47.89% 급등했다. 올해 스마트폰을 비롯해 서버칩, 자동차칩 로열티(사용료) 실적이 크게 개선될 것이라는 전망을 내놓은게 영향을 미쳤다.이날 발표된 고용지표도 시장에 긍정적이진 않았다. 미국 노동부에 따르면 지난 3일로 끝난 한 주간 신규 실업보험 청구자수는 21만8000명으로 직전주보다 9000명 이 줄었다. 3주 만에 다시 감소세를 보인 것이다. 월가 예상치(22만명)도 밑돌았다.250억달러 규모의 30년물 국채 입찰이 성공적으로 마무리됐지만, 국채금리는 소폭 상승세를 유지하고 있다. 여전히 강력한 노동시장에 연준이 금리인하 폭을 예상보다 줄일 수 있다는 우려가 반영되는 분위기다. 이날 오후 4시기준 10년물 국채금리는 전거래일 대비 6bp(1bp=0.01%포인트) 오른 4.158%, 30년물 국채금리는 5bp 상승한 4.359%를 나타내고 있다. 연준 정책에 민감하게 연동하는 2년물 국채금리도 3.6bp 오른 4.458%를 기록 중이다.국제 유가는 소폭 오르며 나흘째 상승세를 이어갔다. 뉴욕상업거래소에서 3월 인도 서부텍사스산원유(WTI) 가격은 전날보다 2.36달러(3.20%) 오른배럴당 76.22달러에 거래를 마쳤다. 레스타인 무장정파 하마스와 이스라엘 간의 휴전 논의가 별다른 진전을 보이지 못한 점이 영향을 미친 것으로 풀이된다.김상윤 (yoon@edaily.co.kr) ",http://v.daum.net/v/20240209060704791
6,"  [속보] 미증시 일제 강보합, S&P500 장중 5000 돌파  ",뉴스1,박형기 기자,2024. 2. 9. 06:03,sinopark@news1.kr ,http://v.daum.net/v/20240209060348748
7,"  [속보]뉴욕증시, 초반 부진 딛고 사흘 내리 상승...암(ARM) 48% 폭등  ",파이낸셜뉴스,송경재,2024. 2. 9. 06:02,dympna@fnnews.com 송경재 기자,http://v.daum.net/v/20240209060223721
8,  [속보] ‘AI 특수’ 英 반도체 설계업체 ARM 48% 폭등  ,뉴스1,박형기 기자,2024. 2. 9. 06:00,sinopark@news1.kr ,http://v.daum.net/v/20240209060045628
9,  [알립니다] 조선일보 ‘총선 7대 기획’ 시작합니다  ,조선일보,입력 2024. 2. 9. 03:01,2024. 2. 9. 03:01,"조선일보가 4월 10일 열리는 22대 국회의원 총선거를 60일 앞두고 7대 기획을 선보입니다. 각 정당과 후보자들의 공약을 쉽게 비교하고 총선의 전체적 판세를 한눈에 파악할 수 있도록 정확한 정보를 신속하게 제공합니다. 특히 이번 총선에선 인공지능(AI)과 첨단 그래픽을 활용한 다양한 정보로 독자 여러분이 나라를 위한 현명한 선택을 하도록 도울 예정입니다.◇쌍방향 총선 상황판 ‘매직 터치 맵’ 업그레이드2022년 대선에서 선보인 쌍방향 사이트 ‘매직 터치 맵’을 업그레이드해 새롭게 선보입니다. 매직 터치 맵은 첨단 그래픽을 활용해 주요 선거 정보를 전국 상세 지역별로 보여줍니다. 출마 후보와 후보별 이력 정보, 선거 당일 득표율도 한눈에 볼 수 있습니다. 매직 터치 맵은 3월 말쯤 선거구별 후보자가 확정되면 문을 엽니다.◇내달 총선 코너 개설...지난 총선과 실시간 비교조선닷컴은 3월 초 총선 전문 코너를 개설하고 총선 관련 실시간 속보를 전합니다. 총선 코너에선 선거 득표율과 4년 전 총선 득표율을 실시간으로 비교할 수 있습니다. 지역별 정당별 지지율도 한눈에 볼 수 있는 실시간 그래픽도 제공합니다◇‘최악 국회’로 남은 21대, 반성의 기록21대 국회는 타협과 협치가 사라지고, 정치적 테러까지 일어난 ‘최악 국회’란 평가를 받고 있습니다. 본지는 21대 국회의 실패 원인을 진단하고, 이를 통한 교훈과 반성의 목소리를 담는 기획을 시작합니다.◇진짜 같은 가짜들 잡아낸다, 총선 팩트체크최근엔 후보자들의 발언과 표만 노린 공약뿐만 아니라 인공지능(AI)이 만들어낸 가짜를 가려내는 것도 언론의 책무로 떠올랐습니다. 본지는 객관적 팩트체크로 유권자들의 올바른 판단을 돕겠습니다.◇후보들의 모든 것 담은 ‘총선 인물 탐구 시리즈’ 연재총선을 뛰는 주요 인사들 이야기를 직접 듣고 그들의 비전과 공약의 실현 가능성을 살피는 연재를 시작합니다. 길거리 유세부터 개인적 이야기까지, 후보들의 다양한 면모를 가감 없이 전하겠습니다.◇각 당의 철학·정책을 담은 인물들...비례대표 후보 검증비례대표 후보는 각 정당의 철학과 정책 방향성을 직접적으로 드러냅니다. 특히 이번 총선은 여야의 위성정당 설립으로 비례대표 검증이 어느 때보다 중요해졌습니다. 비례대표 검증을 통해 독자 여러분께 제대로 된 판단 정보를 전해드리겠습니다.◇AI가 선별...총선 격전지 뉴스 ‘한눈에 보기’AI도 활용합니다. 총선에서 판세를 가르는 주요 격전지를 소개하고, AI가 격전지마다 쏟아지는 각종 뉴스를 요약해 독자들에게 전합니다. 독자들이 대한민국을 위한 올바른 선택을 할 수 있도록 조선일보가 뛰겠습니다.",http://v.daum.net/v/20240209030109713
